feature,occurrences,frequency_%
income_Category,42,84.0
education_Level,36,72.0
Avg_Utilization_Ratio,21,42.0
marital_Status,17,34.0
card_Category,17,34.0
Total_Amt_Chng_Q4_Q1,9,18.0
attrition_Flag,8,16.0
Total_Trans_Ct,6,12.0
Total_Trans_Amt,5,10.0
gender,5,10.0
Total_Relationship_Count,4,8.0
Customer_Age,4,8.0
Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,2,4.0
Months_on_book,2,4.0
Contacts_Count_12_mon,2,4.0
Dependent_count,2,4.0
Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2,1,2.0
Months_Inactive_12_mon,1,2.0
CLIENTNUM,1,2.0
