run_num,features,complexity,win,on_frontier
1,"attrition_Flag, marital_Status, income_Category, Avg_Utilization_Ratio",4,53,False
2,"CLIENTNUM, education_Level, income_Category, Total_Trans_Amt, Avg_Utilization_Ratio",5,23,False
3,"attrition_Flag, gender, income_Category, Total_Trans_Ct",4,58,False
4,"education_Level, marital_Status, income_Category, Total_Trans_Amt",4,63,False
5,"education_Level, marital_Status, income_Category, card_Category, Avg_Utilization_Ratio",5,74,False
6,"CLIENTNUM, income_Category, Total_Trans_Ct, Avg_Utilization_Ratio",4,66,False
7,"education_Level, income_Category, card_Category, Avg_Utilization_Ratio",4,39,False
8,"gender, education_Level, income_Category, card_Category, Total_Amt_Chng_Q4_Q1, Total_Trans_Amt",6,67,False
9,"education_Level, Avg_Utilization_Ratio",2,65,False
10,"CLIENTNUM, income_Category, Total_Trans_Ct",3,36,False
11,"attrition_Flag, education_Level, marital_Status, income_Category, card_Category",5,54,False
12,"CLIENTNUM, education_Level, income_Category, Avg_Utilization_Ratio",4,67,False
13,"income_Category, card_Category, Total_Trans_Ct, Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2",4,59,False
14,"Customer_Age, education_Level, income_Category, Avg_Utilization_Ratio",4,28,False
15,"income_Category, card_Category, Avg_Utilization_Ratio",3,60,False
16,"education_Level, marital_Status, income_Category, card_Category, Contacts_Count_12_mon",5,74,False
17,"education_Level, income_Category, card_Category, Total_Relationship_Count, Total_Trans_Amt",5,68,False
18,"gender, education_Level, income_Category, card_Category, Total_Amt_Chng_Q4_Q1, Avg_Utilization_Ratio",6,66,False
19,"education_Level, income_Category, card_Category",3,62,False
20,"income_Category, card_Category, Avg_Utilization_Ratio",3,62,False
21,"education_Level, income_Category, card_Category, Total_Relationship_Count",4,98,True
22,"Dependent_count, education_Level, marital_Status, income_Category, Total_Trans_Amt, Avg_Utilization_Ratio",6,51,False
23,"education_Level, marital_Status, income_Category, Total_Trans_Amt",4,22,False
24,"education_Level, card_Category, Total_Amt_Chng_Q4_Q1, Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1",4,71,False
25,"CLIENTNUM, gender, income_Category, card_Category, Total_Relationship_Count",5,7,False
26,"income_Category, card_Category",2,74,True
27,"education_Level, income_Category, Avg_Utilization_Ratio",3,35,False
28,"Customer_Age, education_Level, marital_Status, income_Category, card_Category",5,69,False
29,"education_Level, marital_Status, income_Category",3,56,False
30,"gender, education_Level, marital_Status, Total_Trans_Ct, Avg_Utilization_Ratio",5,46,False
31,"marital_Status, income_Category, card_Category",3,71,False
32,"Customer_Age, education_Level, Contacts_Count_12_mon",3,0,False
33,"marital_Status, card_Category, Avg_Utilization_Ratio",3,63,False
34,"attrition_Flag, education_Level, income_Category, card_Category",4,64,False
35,"education_Level, income_Category, Avg_Utilization_Ratio",3,25,False
36,"gender, education_Level, marital_Status, Avg_Utilization_Ratio",4,61,False
37,"Dependent_count, education_Level, income_Category, Avg_Utilization_Ratio",4,-1,False
38,"CLIENTNUM, education_Level, income_Category, Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1",4,43,False
39,"income_Category, card_Category",2,15,False
40,"education_Level, income_Category, card_Category, Total_Amt_Chng_Q4_Q1, Avg_Utilization_Ratio",5,54,False
41,"Dependent_count, marital_Status, income_Category, Total_Relationship_Count, Total_Trans_Amt, Avg_Utilization_Ratio, Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1",7,67,False
42,"education_Level, marital_Status, income_Category",3,20,False
43,"CLIENTNUM, Customer_Age, marital_Status, income_Category",4,72,False
44,"marital_Status, income_Category, card_Category, Avg_Utilization_Ratio",4,31,False
45,"CLIENTNUM, marital_Status, income_Category, Total_Trans_Ct, Avg_Utilization_Ratio",5,63,False
46,"gender, marital_Status, income_Category, card_Category",4,64,False
47,"gender, education_Level, income_Category, card_Category, Months_on_book, Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2",6,8,False
48,"attrition_Flag, education_Level, card_Category, Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1",4,22,False
49,"attrition_Flag, income_Category, Contacts_Count_12_mon, Total_Trans_Amt, Avg_Utilization_Ratio",5,64,False
50,"attrition_Flag, marital_Status, income_Category, Avg_Utilization_Ratio",4,69,False
