run,accuracy,features,num_features,feature_set,raw_output,stability,feature_set_name
1,57,"['Avg_Utilization_Ratio', 'Customer_Age', 'attrition_Flag', 'card_Category', 'income_Category']",5,"('Avg_Utilization_Ratio', 'Customer_Age', 'attrition_Flag', 'card_Category', 'income_Category')"," #rows  win
    28   -6    if card_Category == Blue
     4   18    |  if income_Category == $120K +;
     7    8    |  if income_Category == $80K - $120K
     3   39    |  |  if Customer_Age <= 46;
     4  -14    |  |  if Customer_Age > 46;
     4  -11    |  if income_Category == $60K - $80K;
     7  -16    |  if income_Category == Less than $40K
     4  -10    |  |  if Avg_Utilization_Ratio > 0.296;
     3  -25    |  |  if Avg_Utilization_Ratio <= 0.296;
     5  -21    |  if income_Category == $40K - $60K
     4  -25    |  |  if attrition_Flag == Existing Customer;
19 5 attrition_Flag, Customer_Age, income_Category, card_Category, Avg_Utilization_Ratio
65 57
",37.2,"Avg_Utilization_Ratio, Customer_Age, attrition_Flag, card_Category, income_Category"
2,64,"['education_Level', 'income_Category', 'marital_Status']",3,"('education_Level', 'income_Category', 'marital_Status')"," #rows  win
     7   26    if income_Category == $80K - $120K
     3   18    |  if education_Level == Graduate;
     7   -3    if income_Category == $60K - $80K
     4    4    |  if marital_Status == Married;
     6   -8    if income_Category == Unknown;
     4  -10    if income_Category == $40K - $60K;
     4  -25    if income_Category == Less than $40K;
19 3 education_Level, marital_Status, income_Category
100 64
",72.0,"education_Level, income_Category, marital_Status"
3,64,"['Avg_Utilization_Ratio', 'education_Level', 'income_Category']",3,"('Avg_Utilization_Ratio', 'education_Level', 'income_Category')"," #rows  win
    19   20    if Avg_Utilization_Ratio <= 0.135
    12   43    |  if Avg_Utilization_Ratio > 0.025
     5   62    |  |  if income_Category == $80K - $120K;
     4   15    |  |  if income_Category == Less than $40K;
     7  -18    |  if Avg_Utilization_Ratio <= 0.025;
    11  -35    if Avg_Utilization_Ratio > 0.135
     4  -32    |  if education_Level == Graduate;
     3  -34    |  if education_Level == Unknown;
     3  -48    |  if education_Level == High School;
19 3 education_Level, income_Category, Avg_Utilization_Ratio
69 64
",67.33333333333333,"Avg_Utilization_Ratio, education_Level, income_Category"
4,35,"['Months_on_book', 'Total_Amt_Chng_Q4_Q1', 'Total_Trans_Ct', 'income_Category', 'marital_Status']",5,"('Months_on_book', 'Total_Amt_Chng_Q4_Q1', 'Total_Trans_Ct', 'income_Category', 'marital_Status')"," #rows  win
     5   64    if Months_on_book > 42
     3   49    |  if marital_Status == Married;
    25  -12    if Months_on_book <= 42
     3   41    |  if Total_Amt_Chng_Q4_Q1 > 0.968;
    22  -20    |  if Total_Amt_Chng_Q4_Q1 <= 0.968
    12   -8    |  |  if Total_Trans_Ct > 67
     3    0    |  |  |  if income_Category == Less than $40K;
     4  -12    |  |  |  if income_Category == Unknown;
    10  -34    |  |  if Total_Trans_Ct <= 67
     4  -15    |  |  |  if Total_Amt_Chng_Q4_Q1 > 0.676;
     6  -47    |  |  |  if Total_Amt_Chng_Q4_Q1 <= 0.676;
19 5 marital_Status, income_Category, Months_on_book, Total_Amt_Chng_Q4_Q1, Total_Trans_Ct
70 35
",34.0,"Months_on_book, Total_Amt_Chng_Q4_Q1, Total_Trans_Ct, income_Category, marital_Status"
5,71,"['income_Category', 'marital_Status']",2,"('income_Category', 'marital_Status')"," #rows  win
     3   56    if income_Category == $120K +;
     3   22    if income_Category == Unknown;
     8   15    if income_Category == $60K - $80K;
     6   -1    if income_Category == $80K - $120K
     3   35    |  if marital_Status == Married;
     5  -26    if income_Category == $40K - $60K;
     5  -43    if income_Category == Less than $40K;
19 2 marital_Status, income_Category
66 71
",71.0,"income_Category, marital_Status"
6,65,"['Avg_Utilization_Ratio', 'CLIENTNUM', 'Total_Amt_Chng_Q4_Q1', 'attrition_Flag', 'card_Category', 'income_Category', 'marital_Status']",7,"('Avg_Utilization_Ratio', 'CLIENTNUM', 'Total_Amt_Chng_Q4_Q1', 'attrition_Flag', 'card_Category', 'income_Category', 'marital_Status')"," #rows  win
     3   92    if card_Category == Silver;
    27  -10    if card_Category == Blue
     3   56    |  if Total_Amt_Chng_Q4_Q1 <= 0.476;
    24  -18    |  if Total_Amt_Chng_Q4_Q1 > 0.476
     9   -3    |  |  if Total_Amt_Chng_Q4_Q1 > 0.868
     4  -11    |  |  |  if marital_Status == Married
     3    0    |  |  |  |  if attrition_Flag == Existing Customer;
     3  -25    |  |  |  if marital_Status == Single;
    15  -27    |  |  if Total_Amt_Chng_Q4_Q1 <= 0.868
     8  -19    |  |  |  if Avg_Utilization_Ratio > 0
     3  -17    |  |  |  |  if income_Category == Less than $40K;
     7  -37    |  |  |  if Avg_Utilization_Ratio <= 0
     3  -23    |  |  |  |  if CLIENTNUM > 770766633;
     4  -47    |  |  |  |  if CLIENTNUM <= 770766633;
19 7 CLIENTNUM, attrition_Flag, marital_Status, income_Category, card_Category, Total_Amt_Chng_Q4_Q1, Avg_Utilization_Ratio
64 65
",35.714285714285715,"Avg_Utilization_Ratio, CLIENTNUM, Total_Amt_Chng_Q4_Q1, attrition_Flag, card_Category, income_Category, marital_Status"
7,49,"['Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2', 'education_Level', 'gender', 'income_Category']",4,"('Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2', 'education_Level', 'gender', 'income_Category')"," #rows  win
     5   52    if income_Category == $120K +;
     5   -3    if income_Category == $40K - $60K;
     8  -10    if income_Category == $60K - $80K
     3  -18    |  if education_Level == High School;
     8  -24    if income_Category == Less than $40K
     5  -12    |  if Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2 > 0.99967
     4  -15    |  |  if gender == F;
     3  -45    |  if Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2 <= 0.99967;
19 4 gender, education_Level, income_Category, Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2
69 49
",44.5,"Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2, education_Level, gender, income_Category"
8,64,[],0,()," #rows  win
     4   34    if income_Category == $120K +;
     5   31    if income_Category == $80K - $120K;
     4    0    if income_Category == Unknown;
     7    0    if income_Category == $60K - $80K;
     6  -25    if income_Category == $40K - $60K;
     4  -34    if income_Category == Less than $40K;
19 1 income_Category
77 64
",0.0,(no features)
9,62,"['attrition_Flag', 'education_Level', 'income_Category']",3,"('attrition_Flag', 'education_Level', 'income_Category')"," #rows  win
    11   26    if income_Category == $80K - $120K
     5    0    |  if education_Level == Graduate;
     4    5    if income_Category == $60K - $80K;
     6  -25    if income_Category == $40K - $60K;
     5  -35    if income_Category == Less than $40K
     3  -20    |  if attrition_Flag == Existing Customer;
19 3 attrition_Flag, education_Level, income_Category
73 62
",58.666666666666664,"attrition_Flag, education_Level, income_Category"
10,51,"['Avg_Utilization_Ratio', 'card_Category', 'education_Level', 'income_Category']",4,"('Avg_Utilization_Ratio', 'card_Category', 'education_Level', 'income_Category')"," #rows  win
    22   21    if Avg_Utilization_Ratio > 0
    12   62    |  if Avg_Utilization_Ratio <= 0.155
     4   79    |  |  if education_Level == High School
     3   72    |  |  |  if card_Category == Blue;
     3   59    |  |  if education_Level == Graduate;
    10  -28    |  if Avg_Utilization_Ratio > 0.155
     3  -20    |  |  if income_Category == Less than $40K;
     8  -59    if Avg_Utilization_Ratio <= 0
     3  -58    |  if income_Category == Unknown;
19 4 education_Level, income_Category, card_Category, Avg_Utilization_Ratio
59 51
",60.0,"Avg_Utilization_Ratio, card_Category, education_Level, income_Category"
11,66,"['Avg_Utilization_Ratio', 'Total_Trans_Ct', 'education_Level', 'income_Category']",4,"('Avg_Utilization_Ratio', 'Total_Trans_Ct', 'education_Level', 'income_Category')"," #rows  win
    14   29    if Total_Trans_Ct > 81
    10   46    |  if Avg_Utilization_Ratio <= 0.195
     5   51    |  |  if income_Category == $80K - $120K;
     4  -11    |  if Avg_Utilization_Ratio > 0.195;
    16  -25    if Total_Trans_Ct <= 81
     5    1    |  if income_Category == $80K - $120K;
     5  -32    |  if income_Category == Less than $40K
     3  -41    |  |  if education_Level == Graduate;
     4  -41    |  if income_Category == $40K - $60K;
19 4 education_Level, income_Category, Total_Trans_Ct, Avg_Utilization_Ratio
59 66
",53.5,"Avg_Utilization_Ratio, Total_Trans_Ct, education_Level, income_Category"
12,67,"['Avg_Utilization_Ratio', 'Total_Trans_Amt', 'education_Level', 'income_Category']",4,"('Avg_Utilization_Ratio', 'Total_Trans_Amt', 'education_Level', 'income_Category')"," #rows  win
    11   28    if income_Category == $80K - $120K
     4    1    |  if education_Level == Graduate;
     4    6    if income_Category == $60K - $80K;
     7  -16    if income_Category == Less than $40K
     4   -3    |  if Total_Trans_Amt > 4575;
     3  -34    |  if Total_Trans_Amt <= 4575;
     6  -26    if income_Category == $40K - $60K
     3   -1    |  if Avg_Utilization_Ratio > 0;
     3  -50    |  if Avg_Utilization_Ratio <= 0;
19 4 education_Level, income_Category, Total_Trans_Amt, Avg_Utilization_Ratio
69 67
",52.5,"Avg_Utilization_Ratio, Total_Trans_Amt, education_Level, income_Category"
13,63,"['Total_Trans_Amt', 'card_Category', 'education_Level', 'marital_Status']",4,"('Total_Trans_Amt', 'card_Category', 'education_Level', 'marital_Status')"," #rows  win
     3   78    if card_Category == Silver;
     5   58    if card_Category == Gold;
    22  -24    if card_Category == Blue
     3   45    |  if Total_Trans_Amt <= 1516;
    19  -35    |  if Total_Trans_Amt > 1516
     5  -35    |  |  if education_Level == Graduate
     3  -27    |  |  |  if marital_Status == Married;
     4  -42    |  |  if education_Level == Uneducated
     3  -36    |  |  |  if marital_Status == Married;
19 4 education_Level, marital_Status, card_Category, Total_Trans_Amt
70 63
",43.5,"Total_Trans_Amt, card_Category, education_Level, marital_Status"
14,57,"['Avg_Utilization_Ratio', 'Months_on_book', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1', 'card_Category', 'education_Level', 'income_Category']",6,"('Avg_Utilization_Ratio', 'Months_on_book', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1', 'card_Category', 'education_Level', 'income_Category')"," #rows  win
    26    8    if Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1 <= 0.99544
    23    2    |  if card_Category == Blue
    15    8    |  |  if Avg_Utilization_Ratio <= 0.258
     4   42    |  |  |  if Months_on_book <= 34;
    11   -4    |  |  |  if Months_on_book > 34
     5    5    |  |  |  |  if education_Level == Unknown
     3   24    |  |  |  |  |  if income_Category == $120K +;
     8   -7    |  |  if Avg_Utilization_Ratio > 0.258;
     4  -52    if Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1 > 0.99544;
19 6 education_Level, income_Category, card_Category, Months_on_book, Avg_Utilization_Ratio, Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1
62 57
",42.666666666666664,"Avg_Utilization_Ratio, Months_on_book, Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1, card_Category, education_Level, income_Category"
15,59,"['card_Category', 'education_Level', 'income_Category']",3,"('card_Category', 'education_Level', 'income_Category')"," #rows  win
     8   54    if card_Category == Silver
     5   50    |  if education_Level == Graduate;
    20  -25    if card_Category == Blue
     5    6    |  if income_Category == $120K +;
     5  -12    |  if income_Category == $60K - $80K;
     4  -51    |  if income_Category == $40K - $60K;
     5  -56    |  if income_Category == Less than $40K;
19 3 education_Level, income_Category, card_Category
75 59
",66.66666666666667,"card_Category, education_Level, income_Category"
