feature,count,runs,frequency_%,classification
income_Category,48,50,96.0%,CONSENSUS
education_Level,31,50,62.0%,IMPORTANT
Avg_Utilization_Ratio,22,50,44.0%,UNCERTAIN
card_Category,20,50,40.0%,UNCERTAIN
marital_Status,18,50,36.0%,EXPLORATORY
attrition_Flag,11,50,22.0%,EXPLORATORY
gender,7,50,14.0%,EXPLORATORY
Total_Trans_Amt,5,50,10.0%,EXPLORATORY
Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,4,50,8.0%,EXPLORATORY
Contacts_Count_12_mon,2,50,4.0%,EXPLORATORY
CLIENTNUM,2,50,4.0%,EXPLORATORY
Total_Relationship_Count,2,50,4.0%,EXPLORATORY
Dependent_count,2,50,4.0%,EXPLORATORY
Total_Trans_Ct,2,50,4.0%,EXPLORATORY
Total_Amt_Chng_Q4_Q1,2,50,4.0%,EXPLORATORY
Customer_Age,2,50,4.0%,EXPLORATORY
Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2,2,50,4.0%,EXPLORATORY
Months_Inactive_12_mon,1,50,2.0%,EXPLORATORY
Months_on_book,1,50,2.0%,EXPLORATORY
