feature,occurrences,frequency_%
income_Category,41,82.0
education_Level,38,76.0
Avg_Utilization_Ratio,25,50.0
marital_Status,20,40.0
card_Category,12,24.0
attrition_Flag,11,22.0
Total_Amt_Chng_Q4_Q1,8,16.0
Total_Trans_Amt,7,14.000000000000002
Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,6,12.0
Months_on_book,6,12.0
gender,6,12.0
CLIENTNUM,5,10.0
Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2,4,8.0
Total_Relationship_Count,3,6.0
Dependent_count,3,6.0
Customer_Age,3,6.0
Total_Trans_Ct,3,6.0
Contacts_Count_12_mon,1,2.0
Months_Inactive_12_mon,1,2.0
