run,accuracy,features,num_features,feature_set,stability,feature_set_name
1,56,"['CLIENTNUM', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1', 'education_Level', 'income_Category']",4,"('CLIENTNUM', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1', 'education_Level', 'income_Category')",45.0,"CLIENTNUM, Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1, education_Level, income_Category"
2,58,"['Total_Relationship_Count', 'education_Level', 'income_Category']",3,"('Total_Relationship_Count', 'education_Level', 'income_Category')",54.666666666666664,"Total_Relationship_Count, education_Level, income_Category"
3,44,"['Avg_Utilization_Ratio', 'Total_Amt_Chng_Q4_Q1', 'education_Level', 'income_Category']",4,"('Avg_Utilization_Ratio', 'Total_Amt_Chng_Q4_Q1', 'education_Level', 'income_Category')",56.00000000000001,"Avg_Utilization_Ratio, Total_Amt_Chng_Q4_Q1, education_Level, income_Category"
4,43,"['Avg_Utilization_Ratio', 'Dependent_count', 'education_Level', 'income_Category', 'marital_Status']",5,"('Avg_Utilization_Ratio', 'Dependent_count', 'education_Level', 'income_Category', 'marital_Status')",50.8,"Avg_Utilization_Ratio, Dependent_count, education_Level, income_Category, marital_Status"
5,69,"['Total_Amt_Chng_Q4_Q1', 'education_Level', 'income_Category', 'marital_Status']",4,"('Total_Amt_Chng_Q4_Q1', 'education_Level', 'income_Category', 'marital_Status')",53.5,"Total_Amt_Chng_Q4_Q1, education_Level, income_Category, marital_Status"
6,64,"['attrition_Flag', 'education_Level', 'income_Category', 'marital_Status']",4,"('attrition_Flag', 'education_Level', 'income_Category', 'marital_Status')",55.00000000000001,"attrition_Flag, education_Level, income_Category, marital_Status"
7,64,"['Avg_Utilization_Ratio', 'Contacts_Count_12_mon', 'income_Category']",3,"('Avg_Utilization_Ratio', 'Contacts_Count_12_mon', 'income_Category')",44.666666666666664,"Avg_Utilization_Ratio, Contacts_Count_12_mon, income_Category"
8,16,"['Months_Inactive_12_mon', 'Total_Trans_Amt', 'income_Category']",3,"('Months_Inactive_12_mon', 'Total_Trans_Amt', 'income_Category')",32.666666666666664,"Months_Inactive_12_mon, Total_Trans_Amt, income_Category"
9,66,"['Avg_Utilization_Ratio', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2', 'card_Category', 'education_Level', 'income_Category']",5,"('Avg_Utilization_Ratio', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2', 'card_Category', 'education_Level', 'income_Category')",48.0,"Avg_Utilization_Ratio, Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2, card_Category, education_Level, income_Category"
10,52,"['Avg_Utilization_Ratio', 'Total_Amt_Chng_Q4_Q1', 'attrition_Flag', 'income_Category']",4,"('Avg_Utilization_Ratio', 'Total_Amt_Chng_Q4_Q1', 'attrition_Flag', 'income_Category')",42.5,"Avg_Utilization_Ratio, Total_Amt_Chng_Q4_Q1, attrition_Flag, income_Category"
11,62,"['attrition_Flag', 'card_Category', 'income_Category']",3,"('attrition_Flag', 'card_Category', 'income_Category')",42.666666666666664,"attrition_Flag, card_Category, income_Category"
12,59,"['CLIENTNUM', 'Customer_Age', 'Total_Trans_Amt', 'card_Category', 'education_Level']",5,"('CLIENTNUM', 'Customer_Age', 'Total_Trans_Amt', 'card_Category', 'education_Level')",26.0,"CLIENTNUM, Customer_Age, Total_Trans_Amt, card_Category, education_Level"
