feature,occurrences,frequency_%
income_Category,40,80.0
education_Level,34,68.0
card_Category,20,40.0
Avg_Utilization_Ratio,18,36.0
marital_Status,16,32.0
attrition_Flag,7,14.000000000000002
Total_Trans_Ct,7,14.000000000000002
Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2,5,10.0
Total_Amt_Chng_Q4_Q1,5,10.0
CLIENTNUM,5,10.0
Total_Trans_Amt,5,10.0
gender,4,8.0
Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,4,8.0
Months_on_book,3,6.0
Total_Relationship_Count,3,6.0
Dependent_count,2,4.0
Customer_Age,1,2.0
Months_Inactive_12_mon,1,2.0
