run,accuracy,features,num_features,feature_set,stability,feature_set_name
1,31,"['Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2', 'education_Level', 'income_Category']",3,"('Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2', 'education_Level', 'income_Category')",52.666666666666664,"Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2, education_Level, income_Category"
2,57,"['attrition_Flag', 'card_Category', 'education_Level', 'income_Category', 'marital_Status']",5,"('attrition_Flag', 'card_Category', 'education_Level', 'income_Category', 'marital_Status')",46.8,"attrition_Flag, card_Category, education_Level, income_Category, marital_Status"
3,33,"['Total_Amt_Chng_Q4_Q1', 'education_Level', 'income_Category']",3,"('Total_Amt_Chng_Q4_Q1', 'education_Level', 'income_Category')",52.666666666666664,"Total_Amt_Chng_Q4_Q1, education_Level, income_Category"
4,70,"['Avg_Utilization_Ratio', 'card_Category', 'income_Category']",3,"('Avg_Utilization_Ratio', 'card_Category', 'income_Category')",52.0,"Avg_Utilization_Ratio, card_Category, income_Category"
5,65,"['Avg_Utilization_Ratio', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2', 'attrition_Flag', 'education_Level', 'income_Category']",5,"('Avg_Utilization_Ratio', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2', 'attrition_Flag', 'education_Level', 'income_Category')",41.6,"Avg_Utilization_Ratio, Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2, attrition_Flag, education_Level, income_Category"
6,59,"['Months_on_book', 'education_Level', 'income_Category']",3,"('Months_on_book', 'education_Level', 'income_Category')",51.33333333333333,"Months_on_book, education_Level, income_Category"
7,-3,"['CLIENTNUM', 'education_Level']",2,"('CLIENTNUM', 'education_Level')",39.0,"CLIENTNUM, education_Level"
8,57,"['card_Category', 'education_Level']",2,"('card_Category', 'education_Level')",54.0,"card_Category, education_Level"
9,71,"['Customer_Age', 'Total_Trans_Amt', 'gender', 'income_Category', 'marital_Status']",5,"('Customer_Age', 'Total_Trans_Amt', 'gender', 'income_Category', 'marital_Status')",26.400000000000002,"Customer_Age, Total_Trans_Amt, gender, income_Category, marital_Status"
10,60,"['Avg_Utilization_Ratio', 'income_Category', 'marital_Status']",3,"('Avg_Utilization_Ratio', 'income_Category', 'marital_Status')",49.333333333333336,"Avg_Utilization_Ratio, income_Category, marital_Status"
11,53,"['Avg_Utilization_Ratio', 'Total_Trans_Ct', 'card_Category', 'income_Category']",4,"('Avg_Utilization_Ratio', 'Total_Trans_Ct', 'card_Category', 'income_Category')",42.5,"Avg_Utilization_Ratio, Total_Trans_Ct, card_Category, income_Category"
12,64,"['attrition_Flag', 'card_Category', 'education_Level', 'income_Category', 'marital_Status']",5,"('attrition_Flag', 'card_Category', 'education_Level', 'income_Category', 'marital_Status')",46.8,"attrition_Flag, card_Category, education_Level, income_Category, marital_Status"
13,70,"['Avg_Utilization_Ratio', 'card_Category', 'education_Level', 'gender']",4,"('Avg_Utilization_Ratio', 'card_Category', 'education_Level', 'gender')",38.0,"Avg_Utilization_Ratio, card_Category, education_Level, gender"
14,64,"['card_Category', 'education_Level', 'income_Category']",3,"('card_Category', 'education_Level', 'income_Category')",62.66666666666666,"card_Category, education_Level, income_Category"
15,60,"['card_Category', 'income_Category']",2,"('card_Category', 'income_Category')",60.0,"card_Category, income_Category"
16,37,"['CLIENTNUM', 'Months_on_book', 'attrition_Flag', 'education_Level', 'gender']",5,"('CLIENTNUM', 'Months_on_book', 'attrition_Flag', 'education_Level', 'gender')",21.2,"CLIENTNUM, Months_on_book, attrition_Flag, education_Level, gender"
17,50,"['Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2', 'Total_Trans_Ct', 'education_Level', 'income_Category']",5,"('Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2', 'Total_Trans_Ct', 'education_Level', 'income_Category')",36.0,"Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1, Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2, Total_Trans_Ct, education_Level, income_Category"
18,74,"['Avg_Utilization_Ratio', 'card_Category', 'education_Level', 'income_Category', 'marital_Status']",5,"('Avg_Utilization_Ratio', 'card_Category', 'education_Level', 'income_Category', 'marital_Status')",51.2,"Avg_Utilization_Ratio, card_Category, education_Level, income_Category, marital_Status"
19,56,"['Dependent_count', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1', 'education_Level', 'income_Category']",4,"('Dependent_count', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1', 'education_Level', 'income_Category')",40.0,"Dependent_count, Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1, education_Level, income_Category"
20,94,"['Avg_Utilization_Ratio', 'education_Level', 'income_Category']",3,"('Avg_Utilization_Ratio', 'education_Level', 'income_Category')",61.33333333333334,"Avg_Utilization_Ratio, education_Level, income_Category"
21,0,"['Months_Inactive_12_mon', 'card_Category', 'education_Level', 'income_Category', 'marital_Status']",5,"('Months_Inactive_12_mon', 'card_Category', 'education_Level', 'income_Category', 'marital_Status')",44.4,"Months_Inactive_12_mon, card_Category, education_Level, income_Category, marital_Status"
22,75,"['attrition_Flag', 'education_Level', 'income_Category', 'marital_Status']",4,"('attrition_Flag', 'education_Level', 'income_Category', 'marital_Status')",48.5,"attrition_Flag, education_Level, income_Category, marital_Status"
23,11,"['card_Category', 'education_Level', 'income_Category', 'marital_Status']",4,"('card_Category', 'education_Level', 'income_Category', 'marital_Status')",55.00000000000001,"card_Category, education_Level, income_Category, marital_Status"
24,65,"['Total_Trans_Ct', 'card_Category', 'income_Category']",3,"('Total_Trans_Ct', 'card_Category', 'income_Category')",44.666666666666664,"Total_Trans_Ct, card_Category, income_Category"
25,15,"['Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1', 'attrition_Flag', 'income_Category']",3,"('Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1', 'attrition_Flag', 'income_Category')",34.0,"Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1, attrition_Flag, income_Category"
26,78,"['Avg_Utilization_Ratio', 'card_Category', 'education_Level', 'income_Category']",4,"('Avg_Utilization_Ratio', 'card_Category', 'education_Level', 'income_Category')",56.00000000000001,"Avg_Utilization_Ratio, card_Category, education_Level, income_Category"
27,100,"['Avg_Utilization_Ratio', 'education_Level']",2,"('Avg_Utilization_Ratio', 'education_Level')",52.0,"Avg_Utilization_Ratio, education_Level"
28,41,"['Avg_Utilization_Ratio', 'CLIENTNUM', 'Total_Trans_Amt', 'Total_Trans_Ct', 'income_Category', 'marital_Status']",6,"('Avg_Utilization_Ratio', 'CLIENTNUM', 'Total_Trans_Amt', 'Total_Trans_Ct', 'income_Category', 'marital_Status')",30.333333333333336,"Avg_Utilization_Ratio, CLIENTNUM, Total_Trans_Amt, Total_Trans_Ct, income_Category, marital_Status"
29,26,"['Avg_Utilization_Ratio', 'Total_Trans_Amt', 'education_Level', 'marital_Status']",4,"('Avg_Utilization_Ratio', 'Total_Trans_Amt', 'education_Level', 'marital_Status')",36.5,"Avg_Utilization_Ratio, Total_Trans_Amt, education_Level, marital_Status"
30,22,"['education_Level', 'income_Category']",2,"('education_Level', 'income_Category')",74.0,"education_Level, income_Category"
31,76,"['income_Category', 'marital_Status']",2,"('income_Category', 'marital_Status')",56.00000000000001,"income_Category, marital_Status"
32,52,"['CLIENTNUM', 'card_Category', 'education_Level', 'marital_Status']",4,"('CLIENTNUM', 'card_Category', 'education_Level', 'marital_Status')",37.5,"CLIENTNUM, card_Category, education_Level, marital_Status"
33,65,[],0,(),0.0,(no features)
34,42,"['Dependent_count', 'education_Level', 'income_Category']",3,"('Dependent_count', 'education_Level', 'income_Category')",50.66666666666666,"Dependent_count, education_Level, income_Category"
35,16,"['Total_Trans_Ct', 'education_Level', 'income_Category', 'marital_Status']",4,"('Total_Trans_Ct', 'education_Level', 'income_Category', 'marital_Status')",48.5,"Total_Trans_Ct, education_Level, income_Category, marital_Status"
36,67,"['Avg_Utilization_Ratio', 'Total_Amt_Chng_Q4_Q1', 'Total_Relationship_Count', 'card_Category', 'income_Category']",5,"('Avg_Utilization_Ratio', 'Total_Amt_Chng_Q4_Q1', 'Total_Relationship_Count', 'card_Category', 'income_Category')",34.4,"Avg_Utilization_Ratio, Total_Amt_Chng_Q4_Q1, Total_Relationship_Count, card_Category, income_Category"
37,34,"['Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1', 'Total_Amt_Chng_Q4_Q1', 'Total_Relationship_Count', 'card_Category', 'income_Category']",5,"('Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1', 'Total_Amt_Chng_Q4_Q1', 'Total_Relationship_Count', 'card_Category', 'income_Category')",28.800000000000004,"Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1, Total_Amt_Chng_Q4_Q1, Total_Relationship_Count, card_Category, income_Category"
38,70,"['education_Level', 'income_Category', 'marital_Status']",3,"('education_Level', 'income_Category', 'marital_Status')",60.0,"education_Level, income_Category, marital_Status"
39,47,"['Total_Amt_Chng_Q4_Q1', 'education_Level', 'income_Category']",3,"('Total_Amt_Chng_Q4_Q1', 'education_Level', 'income_Category')",52.666666666666664,"Total_Amt_Chng_Q4_Q1, education_Level, income_Category"
40,59,"['Avg_Utilization_Ratio', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2', 'Total_Trans_Amt', 'education_Level', 'marital_Status']",5,"('Avg_Utilization_Ratio', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2', 'Total_Trans_Amt', 'education_Level', 'marital_Status')",31.2,"Avg_Utilization_Ratio, Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2, Total_Trans_Amt, education_Level, marital_Status"
41,70,"['Avg_Utilization_Ratio', 'CLIENTNUM', 'education_Level', 'income_Category']",4,"('Avg_Utilization_Ratio', 'CLIENTNUM', 'education_Level', 'income_Category')",48.5,"Avg_Utilization_Ratio, CLIENTNUM, education_Level, income_Category"
42,63,"['Avg_Utilization_Ratio', 'Total_Amt_Chng_Q4_Q1', 'income_Category']",3,"('Avg_Utilization_Ratio', 'Total_Amt_Chng_Q4_Q1', 'income_Category')",42.0,"Avg_Utilization_Ratio, Total_Amt_Chng_Q4_Q1, income_Category"
43,61,"['Total_Trans_Ct', 'attrition_Flag', 'card_Category', 'income_Category', 'marital_Status']",5,"('Total_Trans_Ct', 'attrition_Flag', 'card_Category', 'income_Category', 'marital_Status')",36.0,"Total_Trans_Ct, attrition_Flag, card_Category, income_Category, marital_Status"
44,42,"['Avg_Utilization_Ratio', 'card_Category', 'education_Level', 'income_Category']",4,"('Avg_Utilization_Ratio', 'card_Category', 'education_Level', 'income_Category')",56.00000000000001,"Avg_Utilization_Ratio, card_Category, education_Level, income_Category"
45,69,"['Avg_Utilization_Ratio', 'card_Category', 'income_Category']",3,"('Avg_Utilization_Ratio', 'card_Category', 'income_Category')",52.0,"Avg_Utilization_Ratio, card_Category, income_Category"
46,66,"['Total_Trans_Ct', 'education_Level', 'income_Category']",3,"('Total_Trans_Ct', 'education_Level', 'income_Category')",54.0,"Total_Trans_Ct, education_Level, income_Category"
47,57,"['Months_on_book', 'Total_Relationship_Count', 'income_Category']",3,"('Months_on_book', 'Total_Relationship_Count', 'income_Category')",30.66666666666667,"Months_on_book, Total_Relationship_Count, income_Category"
