feature,occurrences,frequency_%
income_Category,41,82.0
education_Level,31,62.0
Avg_Utilization_Ratio,25,50.0
marital_Status,23,46.0
card_Category,23,46.0
attrition_Flag,8,16.0
Customer_Age,7,14.000000000000002
Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2,5,10.0
Total_Trans_Amt,5,10.0
Total_Relationship_Count,5,10.0
Total_Amt_Chng_Q4_Q1,5,10.0
CLIENTNUM,4,8.0
gender,4,8.0
Months_on_book,3,6.0
Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,2,4.0
Total_Trans_Ct,2,4.0
Contacts_Count_12_mon,1,2.0
Months_Inactive_12_mon,1,2.0
