feature,occurrences,frequency_%
income_Category,47,94.0
education_Level,32,64.0
card_Category,22,44.0
marital_Status,21,42.0
Avg_Utilization_Ratio,20,40.0
attrition_Flag,10,20.0
Total_Trans_Amt,9,18.0
Total_Relationship_Count,6,12.0
Total_Amt_Chng_Q4_Q1,6,12.0
Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2,5,10.0
Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,4,8.0
Customer_Age,4,8.0
Months_on_book,3,6.0
CLIENTNUM,3,6.0
Dependent_count,2,4.0
gender,1,2.0
Contacts_Count_12_mon,1,2.0
Total_Trans_Ct,1,2.0
Months_Inactive_12_mon,1,2.0
