run,accuracy,features,num_features,feature_set,stability,feature_set_name
1,48,"['Dependent_count', 'Months_on_book', 'income_Category', 'marital_Status']",4,"('Dependent_count', 'Months_on_book', 'income_Category', 'marital_Status')",36.5,"Dependent_count, Months_on_book, income_Category, marital_Status"
2,70,"['Avg_Utilization_Ratio', 'CLIENTNUM', 'Total_Relationship_Count', 'card_Category', 'education_Level', 'income_Category']",6,"('Avg_Utilization_Ratio', 'CLIENTNUM', 'Total_Relationship_Count', 'card_Category', 'education_Level', 'income_Category')",43.333333333333336,"Avg_Utilization_Ratio, CLIENTNUM, Total_Relationship_Count, card_Category, education_Level, income_Category"
3,43,"['Months_on_book', 'Total_Trans_Amt', 'income_Category', 'marital_Status']",4,"('Months_on_book', 'Total_Trans_Amt', 'income_Category', 'marital_Status')",40.0,"Months_on_book, Total_Trans_Amt, income_Category, marital_Status"
4,57,"['Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2', 'card_Category', 'education_Level', 'income_Category']",4,"('Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2', 'card_Category', 'education_Level', 'income_Category')",53.0,"Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2, card_Category, education_Level, income_Category"
5,65,"['card_Category', 'education_Level', 'income_Category', 'marital_Status']",4,"('card_Category', 'education_Level', 'income_Category', 'marital_Status')",61.0,"card_Category, education_Level, income_Category, marital_Status"
6,72,"['Avg_Utilization_Ratio', 'income_Category']",2,"('Avg_Utilization_Ratio', 'income_Category')",67.0,"Avg_Utilization_Ratio, income_Category"
7,58,"['Total_Trans_Amt', 'card_Category', 'education_Level', 'income_Category']",4,"('Total_Trans_Amt', 'card_Category', 'education_Level', 'income_Category')",55.00000000000001,"Total_Trans_Amt, card_Category, education_Level, income_Category"
8,72,"['Avg_Utilization_Ratio', 'card_Category', 'education_Level']",3,"('Avg_Utilization_Ratio', 'card_Category', 'education_Level')",49.333333333333336,"Avg_Utilization_Ratio, card_Category, education_Level"
9,71,"['Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2', 'income_Category', 'marital_Status']",3,"('Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2', 'income_Category', 'marital_Status')",48.666666666666664,"Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2, income_Category, marital_Status"
10,15,"['Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1', 'gender', 'income_Category', 'marital_Status']",4,"('Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1', 'gender', 'income_Category', 'marital_Status')",36.5,"Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1, gender, income_Category, marital_Status"
11,73,"['Avg_Utilization_Ratio', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1', 'education_Level', 'income_Category']",4,"('Avg_Utilization_Ratio', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1', 'education_Level', 'income_Category')",51.5,"Avg_Utilization_Ratio, Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1, education_Level, income_Category"
12,66,"['Avg_Utilization_Ratio', 'Total_Trans_Amt', 'income_Category']",3,"('Avg_Utilization_Ratio', 'Total_Trans_Amt', 'income_Category')",50.66666666666666,"Avg_Utilization_Ratio, Total_Trans_Amt, income_Category"
13,61,"['Avg_Utilization_Ratio', 'Total_Relationship_Count', 'education_Level', 'income_Category']",4,"('Avg_Utilization_Ratio', 'Total_Relationship_Count', 'education_Level', 'income_Category')",52.5,"Avg_Utilization_Ratio, Total_Relationship_Count, education_Level, income_Category"
14,68,"['Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2', 'income_Category']",2,"('Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2', 'income_Category')",52.0,"Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2, income_Category"
15,35,"['Total_Amt_Chng_Q4_Q1', 'Total_Relationship_Count', 'card_Category', 'income_Category', 'marital_Status']",5,"('Total_Amt_Chng_Q4_Q1', 'Total_Relationship_Count', 'card_Category', 'income_Category', 'marital_Status')",40.8,"Total_Amt_Chng_Q4_Q1, Total_Relationship_Count, card_Category, income_Category, marital_Status"
