feature,occurrences,frequency_%
income_Category,41,82.0
education_Level,38,76.0
Avg_Utilization_Ratio,23,46.0
marital_Status,21,42.0
card_Category,15,30.0
Total_Amt_Chng_Q4_Q1,11,22.0
attrition_Flag,6,12.0
gender,6,12.0
Total_Trans_Amt,6,12.0
Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,4,8.0
CLIENTNUM,4,8.0
Customer_Age,3,6.0
Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2,3,6.0
Total_Relationship_Count,3,6.0
Months_Inactive_12_mon,2,4.0
Months_on_book,2,4.0
Total_Trans_Ct,2,4.0
Dependent_count,1,2.0
