run,accuracy,features,num_features,feature_set,stability,feature_set_name
1,64,"['education_Level', 'income_Category']",2,"('education_Level', 'income_Category')",79.0,"education_Level, income_Category"
2,42,"['attrition_Flag', 'education_Level', 'income_Category']",3,"('attrition_Flag', 'education_Level', 'income_Category')",56.666666666666664,"attrition_Flag, education_Level, income_Category"
3,54,"['Avg_Utilization_Ratio', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1', 'marital_Status']",3,"('Avg_Utilization_Ratio', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1', 'marital_Status')",32.0,"Avg_Utilization_Ratio, Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1, marital_Status"
4,63,"['education_Level', 'income_Category']",2,"('education_Level', 'income_Category')",79.0,"education_Level, income_Category"
5,57,"['Avg_Utilization_Ratio', 'CLIENTNUM', 'Dependent_count', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1', 'income_Category']",5,"('Avg_Utilization_Ratio', 'CLIENTNUM', 'Dependent_count', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1', 'income_Category')",29.2,"Avg_Utilization_Ratio, CLIENTNUM, Dependent_count, Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1, income_Category"
6,68,"['Total_Amt_Chng_Q4_Q1', 'gender', 'income_Category']",3,"('Total_Amt_Chng_Q4_Q1', 'gender', 'income_Category')",38.666666666666664,"Total_Amt_Chng_Q4_Q1, gender, income_Category"
7,55,"['Avg_Utilization_Ratio', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1', 'card_Category', 'education_Level']",4,"('Avg_Utilization_Ratio', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1', 'card_Category', 'education_Level')",40.0,"Avg_Utilization_Ratio, Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1, card_Category, education_Level"
8,61,"['Customer_Age', 'Months_Inactive_12_mon', 'card_Category', 'gender', 'income_Category', 'marital_Status']",6,"('Customer_Age', 'Months_Inactive_12_mon', 'card_Category', 'gender', 'income_Category', 'marital_Status')",29.333333333333332,"Customer_Age, Months_Inactive_12_mon, card_Category, gender, income_Category, marital_Status"
9,29,"['Avg_Utilization_Ratio', 'Months_on_book', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2', 'education_Level', 'marital_Status']",5,"('Avg_Utilization_Ratio', 'Months_on_book', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2', 'education_Level', 'marital_Status')",34.8,"Avg_Utilization_Ratio, Months_on_book, Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2, education_Level, marital_Status"
10,53,"['Months_on_book', 'education_Level', 'income_Category', 'marital_Status']",4,"('Months_on_book', 'education_Level', 'income_Category', 'marital_Status')",51.0,"Months_on_book, education_Level, income_Category, marital_Status"
11,80,"['Total_Trans_Amt', 'education_Level']",2,"('Total_Trans_Amt', 'education_Level')",44.0,"Total_Trans_Amt, education_Level"
12,31,"['Months_Inactive_12_mon', 'Total_Amt_Chng_Q4_Q1', 'education_Level', 'income_Category']",4,"('Months_Inactive_12_mon', 'Total_Amt_Chng_Q4_Q1', 'education_Level', 'income_Category')",46.0,"Months_Inactive_12_mon, Total_Amt_Chng_Q4_Q1, education_Level, income_Category"
13,62,"['Avg_Utilization_Ratio', 'education_Level']",2,"('Avg_Utilization_Ratio', 'education_Level')",61.0,"Avg_Utilization_Ratio, education_Level"
14,53,"['Avg_Utilization_Ratio', 'income_Category', 'marital_Status']",3,"('Avg_Utilization_Ratio', 'income_Category', 'marital_Status')",56.666666666666664,"Avg_Utilization_Ratio, income_Category, marital_Status"
15,66,"['Avg_Utilization_Ratio', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2', 'Total_Trans_Amt', 'education_Level']",4,"('Avg_Utilization_Ratio', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2', 'Total_Trans_Amt', 'education_Level')",35.0,"Avg_Utilization_Ratio, Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2, Total_Trans_Amt, education_Level"
16,74,"['Avg_Utilization_Ratio', 'education_Level', 'income_Category', 'marital_Status']",4,"('Avg_Utilization_Ratio', 'education_Level', 'income_Category', 'marital_Status')",61.5,"Avg_Utilization_Ratio, education_Level, income_Category, marital_Status"
17,66,"['Avg_Utilization_Ratio', 'card_Category', 'education_Level', 'income_Category', 'marital_Status']",5,"('Avg_Utilization_Ratio', 'card_Category', 'education_Level', 'income_Category', 'marital_Status')",55.2,"Avg_Utilization_Ratio, card_Category, education_Level, income_Category, marital_Status"
18,55,"['attrition_Flag', 'gender', 'income_Category', 'marital_Status']",4,"('attrition_Flag', 'gender', 'income_Category', 'marital_Status')",37.0,"attrition_Flag, gender, income_Category, marital_Status"
19,0,"['education_Level', 'income_Category']",2,"('education_Level', 'income_Category')",79.0,"education_Level, income_Category"
20,58,"['attrition_Flag', 'card_Category', 'education_Level', 'gender', 'income_Category']",5,"('attrition_Flag', 'card_Category', 'education_Level', 'gender', 'income_Category')",42.4,"attrition_Flag, card_Category, education_Level, gender, income_Category"
21,39,"['education_Level', 'income_Category']",2,"('education_Level', 'income_Category')",79.0,"education_Level, income_Category"
22,65,"['Avg_Utilization_Ratio', 'CLIENTNUM', 'education_Level', 'gender', 'income_Category']",5,"('Avg_Utilization_Ratio', 'CLIENTNUM', 'education_Level', 'gender', 'income_Category')",44.8,"Avg_Utilization_Ratio, CLIENTNUM, education_Level, gender, income_Category"
