run,accuracy,features,num_features,feature_set,stability,feature_set_name
1,60,"['Avg_Utilization_Ratio', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2', 'education_Level', 'income_Category']",4,"('Avg_Utilization_Ratio', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2', 'education_Level', 'income_Category')",51.5,"Avg_Utilization_Ratio, Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2, education_Level, income_Category"
2,15,"['education_Level', 'income_Category', 'marital_Status']",3,"('education_Level', 'income_Category', 'marital_Status')",63.33333333333333,"education_Level, income_Category, marital_Status"
3,44,"['card_Category', 'education_Level', 'income_Category']",3,"('card_Category', 'education_Level', 'income_Category')",65.33333333333333,"card_Category, education_Level, income_Category"
4,47,"['education_Level', 'gender', 'income_Category']",3,"('education_Level', 'gender', 'income_Category')",54.0,"education_Level, gender, income_Category"
5,61,"['Avg_Utilization_Ratio', 'Customer_Age', 'card_Category', 'education_Level', 'income_Category']",5,"('Avg_Utilization_Ratio', 'Customer_Age', 'card_Category', 'education_Level', 'income_Category')",47.6,"Avg_Utilization_Ratio, Customer_Age, card_Category, education_Level, income_Category"
6,81,"['Avg_Utilization_Ratio', 'CLIENTNUM', 'income_Category']",3,"('Avg_Utilization_Ratio', 'CLIENTNUM', 'income_Category')",42.0,"Avg_Utilization_Ratio, CLIENTNUM, income_Category"
7,73,"['Avg_Utilization_Ratio', 'education_Level', 'income_Category', 'marital_Status']",4,"('Avg_Utilization_Ratio', 'education_Level', 'income_Category', 'marital_Status')",56.49999999999999,"Avg_Utilization_Ratio, education_Level, income_Category, marital_Status"
8,73,"['Avg_Utilization_Ratio', 'Dependent_count', 'education_Level', 'income_Category']",4,"('Avg_Utilization_Ratio', 'Dependent_count', 'education_Level', 'income_Category')",50.0,"Avg_Utilization_Ratio, Dependent_count, education_Level, income_Category"
9,38,"['education_Level', 'income_Category', 'marital_Status']",3,"('education_Level', 'income_Category', 'marital_Status')",63.33333333333333,"education_Level, income_Category, marital_Status"
10,56,"['income_Category', 'marital_Status']",2,"('income_Category', 'marital_Status')",56.00000000000001,"income_Category, marital_Status"
11,54,"['Months_on_book', 'card_Category', 'education_Level', 'income_Category']",4,"('Months_on_book', 'card_Category', 'education_Level', 'income_Category')",51.0,"Months_on_book, card_Category, education_Level, income_Category"
12,25,"['education_Level', 'income_Category']",2,"('education_Level', 'income_Category')",79.0,"education_Level, income_Category"
13,67,"['Total_Relationship_Count', 'card_Category', 'education_Level']",3,"('Total_Relationship_Count', 'card_Category', 'education_Level')",39.333333333333336,"Total_Relationship_Count, card_Category, education_Level"
14,48,"['Avg_Utilization_Ratio', 'education_Level']",2,"('Avg_Utilization_Ratio', 'education_Level')",56.99999999999999,"Avg_Utilization_Ratio, education_Level"
15,29,"['Total_Trans_Amt', 'education_Level', 'income_Category']",3,"('Total_Trans_Amt', 'education_Level', 'income_Category')",56.666666666666664,"Total_Trans_Amt, education_Level, income_Category"
16,64,"['Avg_Utilization_Ratio', 'income_Category']",2,"('Avg_Utilization_Ratio', 'income_Category')",57.99999999999999,"Avg_Utilization_Ratio, income_Category"
17,60,"['CLIENTNUM', 'card_Category', 'education_Level', 'income_Category']",4,"('CLIENTNUM', 'card_Category', 'education_Level', 'income_Category')",51.5,"CLIENTNUM, card_Category, education_Level, income_Category"
18,67,"['Total_Amt_Chng_Q4_Q1', 'Total_Trans_Amt', 'education_Level', 'income_Category']",4,"('Total_Amt_Chng_Q4_Q1', 'Total_Trans_Amt', 'education_Level', 'income_Category')",45.5,"Total_Amt_Chng_Q4_Q1, Total_Trans_Amt, education_Level, income_Category"
19,42,"['Total_Amt_Chng_Q4_Q1', 'education_Level', 'gender', 'marital_Status']",4,"('Total_Amt_Chng_Q4_Q1', 'education_Level', 'gender', 'marital_Status')",31.5,"Total_Amt_Chng_Q4_Q1, education_Level, gender, marital_Status"
20,1,"['Customer_Age', 'attrition_Flag', 'education_Level']",3,"('Customer_Age', 'attrition_Flag', 'education_Level')",31.33333333333333,"Customer_Age, attrition_Flag, education_Level"
21,71,"['Avg_Utilization_Ratio', 'education_Level']",2,"('Avg_Utilization_Ratio', 'education_Level')",56.99999999999999,"Avg_Utilization_Ratio, education_Level"
22,62,"['Avg_Utilization_Ratio', 'Dependent_count', 'card_Category', 'education_Level', 'income_Category']",5,"('Avg_Utilization_Ratio', 'Dependent_count', 'card_Category', 'education_Level', 'income_Category')",47.6,"Avg_Utilization_Ratio, Dependent_count, card_Category, education_Level, income_Category"
23,61,"['Total_Amt_Chng_Q4_Q1', 'Total_Trans_Amt', 'income_Category', 'marital_Status']",4,"('Total_Amt_Chng_Q4_Q1', 'Total_Trans_Amt', 'income_Category', 'marital_Status')",34.0,"Total_Amt_Chng_Q4_Q1, Total_Trans_Amt, income_Category, marital_Status"
24,77,"['Total_Amt_Chng_Q4_Q1', 'education_Level', 'income_Category']",3,"('Total_Amt_Chng_Q4_Q1', 'education_Level', 'income_Category')",56.666666666666664,"Total_Amt_Chng_Q4_Q1, education_Level, income_Category"
25,67,"['CLIENTNUM', 'attrition_Flag', 'education_Level', 'marital_Status']",4,"('CLIENTNUM', 'attrition_Flag', 'education_Level', 'marital_Status')",32.5,"CLIENTNUM, attrition_Flag, education_Level, marital_Status"
26,14,"['Months_on_book', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2', 'card_Category', 'education_Level', 'marital_Status']",5,"('Months_on_book', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2', 'card_Category', 'education_Level', 'marital_Status')",33.6,"Months_on_book, Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2, card_Category, education_Level, marital_Status"
27,68,"['Total_Trans_Amt', 'income_Category']",2,"('Total_Trans_Amt', 'income_Category')",46.0,"Total_Trans_Amt, income_Category"
28,21,"['Avg_Utilization_Ratio', 'Dependent_count', 'Months_Inactive_12_mon', 'income_Category', 'marital_Status']",5,"('Avg_Utilization_Ratio', 'Dependent_count', 'Months_Inactive_12_mon', 'income_Category', 'marital_Status')",31.6,"Avg_Utilization_Ratio, Dependent_count, Months_Inactive_12_mon, income_Category, marital_Status"
29,81,"['Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1', 'education_Level', 'income_Category', 'marital_Status']",4,"('Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1', 'education_Level', 'income_Category', 'marital_Status')",49.0,"Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1, education_Level, income_Category, marital_Status"
30,27,"['Contacts_Count_12_mon', 'education_Level', 'income_Category']",3,"('Contacts_Count_12_mon', 'education_Level', 'income_Category')",53.333333333333336,"Contacts_Count_12_mon, education_Level, income_Category"
