run,accuracy,features,num_features,feature_set,stability,feature_set_name
1,64,"['Total_Trans_Ct', 'education_Level', 'income_Category']",3,"('Total_Trans_Ct', 'education_Level', 'income_Category')",55.333333333333336,"Total_Trans_Ct, education_Level, income_Category"
2,25,"['CLIENTNUM', 'Customer_Age', 'Total_Trans_Amt', 'income_Category']",4,"('CLIENTNUM', 'Customer_Age', 'Total_Trans_Amt', 'income_Category')",30.5,"CLIENTNUM, Customer_Age, Total_Trans_Amt, income_Category"
3,29,"['Avg_Utilization_Ratio', 'Months_Inactive_12_mon', 'card_Category', 'income_Category', 'marital_Status']",5,"('Avg_Utilization_Ratio', 'Months_Inactive_12_mon', 'card_Category', 'income_Category', 'marital_Status')",45.2,"Avg_Utilization_Ratio, Months_Inactive_12_mon, card_Category, income_Category, marital_Status"
4,56,"['Avg_Utilization_Ratio', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1', 'education_Level', 'gender', 'income_Category', 'marital_Status']",6,"('Avg_Utilization_Ratio', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1', 'education_Level', 'gender', 'income_Category', 'marital_Status')",44.333333333333336,"Avg_Utilization_Ratio, Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1, education_Level, gender, income_Category, marital_Status"
5,45,"['Avg_Utilization_Ratio', 'Total_Amt_Chng_Q4_Q1', 'attrition_Flag', 'income_Category', 'marital_Status']",5,"('Avg_Utilization_Ratio', 'Total_Amt_Chng_Q4_Q1', 'attrition_Flag', 'income_Category', 'marital_Status')",41.6,"Avg_Utilization_Ratio, Total_Amt_Chng_Q4_Q1, attrition_Flag, income_Category, marital_Status"
6,68,"['Avg_Utilization_Ratio', 'education_Level', 'income_Category']",3,"('Avg_Utilization_Ratio', 'education_Level', 'income_Category')",68.0,"Avg_Utilization_Ratio, education_Level, income_Category"
7,56,"['attrition_Flag', 'card_Category', 'income_Category']",3,"('attrition_Flag', 'card_Category', 'income_Category')",48.666666666666664,"attrition_Flag, card_Category, income_Category"
8,78,"['Avg_Utilization_Ratio', 'income_Category', 'marital_Status']",3,"('Avg_Utilization_Ratio', 'income_Category', 'marital_Status')",60.0,"Avg_Utilization_Ratio, income_Category, marital_Status"
9,59,"['card_Category', 'education_Level', 'income_Category', 'marital_Status']",4,"('card_Category', 'education_Level', 'income_Category', 'marital_Status')",60.5,"card_Category, education_Level, income_Category, marital_Status"
10,64,"['Total_Amt_Chng_Q4_Q1', 'card_Category', 'income_Category', 'marital_Status']",4,"('Total_Amt_Chng_Q4_Q1', 'card_Category', 'income_Category', 'marital_Status')",45.0,"Total_Amt_Chng_Q4_Q1, card_Category, income_Category, marital_Status"
11,69,"['Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1', 'card_Category', 'income_Category', 'marital_Status']",4,"('Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1', 'card_Category', 'income_Category', 'marital_Status')",44.5,"Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1, card_Category, income_Category, marital_Status"
12,68,"['Avg_Utilization_Ratio', 'education_Level']",2,"('Avg_Utilization_Ratio', 'education_Level')",59.0,"Avg_Utilization_Ratio, education_Level"
13,69,"['Avg_Utilization_Ratio', 'education_Level', 'income_Category']",3,"('Avg_Utilization_Ratio', 'education_Level', 'income_Category')",68.0,"Avg_Utilization_Ratio, education_Level, income_Category"
14,62,"['Avg_Utilization_Ratio', 'Dependent_count', 'education_Level']",3,"('Avg_Utilization_Ratio', 'Dependent_count', 'education_Level')",41.333333333333336,"Avg_Utilization_Ratio, Dependent_count, education_Level"
15,70,"['Total_Trans_Ct', 'education_Level', 'income_Category', 'marital_Status']",4,"('Total_Trans_Ct', 'education_Level', 'income_Category', 'marital_Status')",53.0,"Total_Trans_Ct, education_Level, income_Category, marital_Status"
16,4,"['Avg_Utilization_Ratio', 'education_Level', 'gender']",3,"('Avg_Utilization_Ratio', 'education_Level', 'gender')",42.666666666666664,"Avg_Utilization_Ratio, education_Level, gender"
17,57,"['Avg_Utilization_Ratio', 'Months_Inactive_12_mon', 'education_Level', 'income_Category']",4,"('Avg_Utilization_Ratio', 'Months_Inactive_12_mon', 'education_Level', 'income_Category')",52.5,"Avg_Utilization_Ratio, Months_Inactive_12_mon, education_Level, income_Category"
18,63,"['Avg_Utilization_Ratio', 'CLIENTNUM', 'Customer_Age', 'Total_Relationship_Count', 'income_Category', 'marital_Status']",6,"('Avg_Utilization_Ratio', 'CLIENTNUM', 'Customer_Age', 'Total_Relationship_Count', 'income_Category', 'marital_Status')",34.666666666666664,"Avg_Utilization_Ratio, CLIENTNUM, Customer_Age, Total_Relationship_Count, income_Category, marital_Status"
19,61,"['Avg_Utilization_Ratio', 'Total_Trans_Amt', 'attrition_Flag', 'gender', 'income_Category', 'marital_Status']",6,"('Avg_Utilization_Ratio', 'Total_Trans_Amt', 'attrition_Flag', 'gender', 'income_Category', 'marital_Status')",36.666666666666664,"Avg_Utilization_Ratio, Total_Trans_Amt, attrition_Flag, gender, income_Category, marital_Status"
20,27,"['Total_Amt_Chng_Q4_Q1', 'attrition_Flag', 'card_Category', 'education_Level', 'gender', 'income_Category', 'marital_Status']",7,"('Total_Amt_Chng_Q4_Q1', 'attrition_Flag', 'card_Category', 'education_Level', 'gender', 'income_Category', 'marital_Status')",40.0,"Total_Amt_Chng_Q4_Q1, attrition_Flag, card_Category, education_Level, gender, income_Category, marital_Status"
21,60,"['education_Level', 'income_Category', 'marital_Status']",3,"('education_Level', 'income_Category', 'marital_Status')",67.33333333333333,"education_Level, income_Category, marital_Status"
22,56,"['card_Category', 'education_Level', 'income_Category', 'marital_Status']",4,"('card_Category', 'education_Level', 'income_Category', 'marital_Status')",60.5,"card_Category, education_Level, income_Category, marital_Status"
