rule,occurrences,penetration_%,avg_win,avg_rows,coverage_%,impact_score,roi_win_per_row,recommendation
card_Category == Gold,1,2.0%,72.0,5.0,7.5%,5.34,14.40,⭐ EASY WIN
card_Category == Silver,7,14.0%,45.9,6.6,9.9%,4.47,6.98,✓ GOOD
income_Category == $120K +,17,34.0%,33.8,5.4,8.1%,2.69,6.32,✓ GOOD
income_Category == $80K - $120K,35,70.0%,24.3,6.5,9.8%,2.34,3.75,✓ GOOD
education_Level == High School,22,44.0%,18.9,4.2,6.4%,1.19,4.47,⚠️ RARE
education_Level == College,7,14.0%,10.6,3.9,5.8%,0.61,2.74,⚠️ RARE
marital_Status == Married,24,48.0%,6.5,4.0,6.0%,0.38,1.64,⚠️ RARE
income_Category == $60K - $80K,26,52.0%,3.9,5.3,8.1%,0.31,0.73,🟡 MAYBE
education_Level == Graduate,31,62.0%,3.3,4.0,6.1%,0.20,0.82,🟡 MAYBE
education_Level == Uneducated,10,20.0%,3.4,3.8,5.7%,0.19,0.89,⚠️ RARE
gender == M,4,8.0%,-0.2,4.8,7.2%,-0.02,-0.05,❌ AVOID (negative)
education_Level == Unknown,13,26.0%,-2.4,4.0,6.0%,-0.14,-0.60,❌ AVOID (negative)
marital_Status == Single,9,18.0%,-2.1,4.7,7.0%,-0.15,-0.45,❌ AVOID (negative)
education_Level == Post-Graduate,1,2.0%,-6.0,3.0,4.5%,-0.27,-2.00,❌ AVOID (negative)
attrition_Flag == Existing Customer,8,16.0%,-6.4,4.4,6.6%,-0.41,-1.46,❌ AVOID (negative)
income_Category == Unknown,13,26.0%,-7.5,4.5,6.7%,-0.50,-1.69,❌ AVOID (negative)
marital_Status == Unknown,3,6.0%,-14.7,3.0,4.5%,-0.65,-4.89,❌ AVOID (negative)
attrition_Flag == Attrited Customer,1,2.0%,-34.0,3.0,4.5%,-1.51,-11.33,❌ AVOID (negative)
gender == F,2,4.0%,-39.0,3.0,4.5%,-1.74,-13.00,❌ AVOID (negative)
income_Category == $40K - $60K,27,54.0%,-25.6,5.0,7.6%,-1.91,-5.07,❌ AVOID (negative)
income_Category == Less than $40K,38,76.0%,-29.4,5.6,8.5%,-2.46,-5.22,❌ AVOID (negative)
card_Category == Blue,20,40.0%,-27.8,12.9,19.5%,-5.34,-2.15,❌ AVOID (negative)
