rank,rule,recommendation,impact,coverage_%,cumulative_impact,suggested_tier
132,(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio <= 0....,⭐ EASY WIN,7.73,23.6%,7.73,Tier 1: Quick Wins
207,(Avg_Utilization_Ratio <= 0.094) AND (Avg_Utilization_Ratio ...,⭐ EASY WIN,6.11,13.3%,13.84,Tier 1: Quick Wins
78,(Avg_Utilization_Ratio <= 0.138) AND (Avg_Utilization_Ratio ...,⭐ EASY WIN,6.05,17.7%,19.89,Tier 1: Quick Wins
119,(Total_Trans_Ct > 92),⭐ EASY WIN,5.93,11.8%,25.82,Tier 1: Quick Wins
235,(Avg_Utilization_Ratio <= 0.146) AND (Avg_Utilization_Ratio ...,⭐ EASY WIN,5.90,20.7%,31.72,Tier 1: Quick Wins
284,(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio <= 0....,⭐ EASY WIN,5.74,13.3%,37.46,Tier 1: Quick Wins
262,(Customer_Age > 48),⭐ EASY WIN,5.45,22.1%,42.91,Tier 1: Quick Wins
206,(Avg_Utilization_Ratio <= 0.094),⭐ EASY WIN,5.45,22.1%,48.36,Tier 1: Quick Wins
19,(card_Category == Silver),⭐ EASY WIN,5.43,11.6%,53.79,Tier 1: Quick Wins
110,(Avg_Utilization_Ratio > 0),⭐ EASY WIN,5.24,29.2%,59.03,Tier 1: Quick Wins
275,(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio <= 0....,⭐ EASY WIN,5.24,8.9%,64.27,Tier 1: Quick Wins
234,(Avg_Utilization_Ratio <= 0.146),✓ GOOD,4.89,31.0%,69.16,Tier 2: Good Rules
236,(Avg_Utilization_Ratio <= 0.146) AND (Avg_Utilization_Ratio ...,✓ GOOD,4.84,13.3%,74.00,Tier 2: Good Rules
263,(Customer_Age > 48) AND (Avg_Utilization_Ratio <= 0.174),✓ GOOD,4.72,13.3%,78.72,Tier 2: Good Rules
181,(Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contact...,✓ GOOD,4.52,32.5%,83.24,Tier 2: Good Rules
77,(Avg_Utilization_Ratio <= 0.138),✓ GOOD,4.45,26.6%,87.69,Tier 2: Good Rules
47,(Total_Trans_Amt > 5638),✓ GOOD,4.38,10.3%,92.07,Tier 2: Good Rules
68,(Avg_Utilization_Ratio <= 0.174) AND (Avg_Utilization_Ratio ...,✓ GOOD,4.32,14.8%,96.39,Tier 2: Good Rules
133,(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio <= 0....,✓ GOOD,4.23,13.3%,100.62,Tier 2: Good Rules
244,(Total_Trans_Ct > 71),✓ GOOD,4.19,26.6%,104.81,Tier 2: Good Rules
87,(Avg_Utilization_Ratio <= 0.125) AND (Avg_Utilization_Ratio ...,✓ GOOD,3.98,13.3%,108.79,Tier 2: Good Rules
58,(card_Category == Gold),✓ GOOD,3.88,4.4%,112.67,Tier 2: Good Rules
111,(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio <= 0....,✓ GOOD,3.60,10.3%,116.27,Tier 2: Good Rules
30,(Avg_Utilization_Ratio <= 0.151) AND (Avg_Utilization_Ratio ...,✓ GOOD,3.52,13.3%,119.79,Tier 2: Good Rules
157,(income_Category == Unknown) AND (attrition_Flag == Existing...,✓ GOOD,3.52,8.9%,123.31,Tier 2: Good Rules
67,(Avg_Utilization_Ratio <= 0.174),✓ GOOD,3.49,23.6%,126.80,Tier 2: Good Rules
86,(Avg_Utilization_Ratio <= 0.125),✓ GOOD,3.49,22.1%,130.29,Tier 2: Good Rules
276,(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio <= 0....,✓ GOOD,3.44,7.4%,133.73,Tier 2: Good Rules
31,(Avg_Utilization_Ratio <= 0.151) AND (Avg_Utilization_Ratio ...,✓ GOOD,3.29,11.8%,137.02,Tier 2: Good Rules
182,(Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contact...,✓ GOOD,3.27,14.8%,140.29,Tier 2: Good Rules
29,(Avg_Utilization_Ratio <= 0.151),✓ GOOD,3.21,19.2%,143.50,Tier 2: Good Rules
180,(Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contact...,✓ GOOD,3.14,39.8%,146.64,Tier 2: Good Rules
9,(income_Category == $80K - $120K),✓ GOOD,2.95,10.6%,149.59,Tier 2: Good Rules
285,(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio <= 0....,✓ GOOD,2.92,5.9%,152.51,Tier 2: Good Rules
48,(Total_Trans_Amt > 5638) AND (income_Category == $80K - $120...,✓ GOOD,2.90,4.4%,155.41,Tier 2: Good Rules
156,(income_Category == $80K - $120K) AND (attrition_Flag == Exi...,✓ GOOD,2.72,7.4%,158.13,Tier 2: Good Rules
146,(income_Category == $120K +) AND (Months_on_book <= 36),✓ GOOD,2.71,8.9%,160.84,Tier 2: Good Rules
264,(Customer_Age > 48) AND (Avg_Utilization_Ratio <= 0.174) AND...,✓ GOOD,2.65,5.9%,163.49,Tier 2: Good Rules
254,(education_Level == Uneducated),✓ GOOD,2.62,8.9%,166.11,Tier 2: Good Rules
41,(card_Category == Silver) AND (income_Category == $80K - $12...,✓ GOOD,2.55,5.9%,168.66,Tier 2: Good Rules
237,(Avg_Utilization_Ratio <= 0.146) AND (Avg_Utilization_Ratio ...,✓ GOOD,2.53,8.9%,171.19,Tier 2: Good Rules
191,(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio <= 0....,✓ GOOD,2.52,7.4%,173.71,Tier 2: Good Rules
277,(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio <= 0....,✓ GOOD,2.44,5.9%,176.15,Tier 2: Good Rules
88,(Avg_Utilization_Ratio <= 0.125) AND (Avg_Utilization_Ratio ...,✓ GOOD,2.23,10.3%,178.38,Tier 2: Good Rules
75,(income_Category == $60K - $80K) AND (Avg_Utilization_Ratio ...,✓ GOOD,2.22,4.4%,180.60,Tier 2: Good Rules
23,(income_Category == $80K - $120K) AND (Avg_Utilization_Ratio...,✓ GOOD,2.16,4.4%,182.76,Tier 2: Good Rules
40,(card_Category == Silver) AND (income_Category == $60K - $80...,✓ GOOD,2.16,5.2%,184.92,Tier 2: Good Rules
89,(Avg_Utilization_Ratio <= 0.125) AND (Avg_Utilization_Ratio ...,✓ GOOD,2.14,8.9%,187.06,Tier 2: Good Rules
168,(card_Category == Silver) AND (education_Level == High Schoo...,✓ GOOD,2.07,4.4%,189.13,Tier 2: Good Rules
166,(income_Category == $120K +) AND (education_Level == Uneduca...,✓ GOOD,2.07,4.4%,191.20,Tier 2: Good Rules
69,(Avg_Utilization_Ratio <= 0.174) AND (Avg_Utilization_Ratio ...,⚠️ RARE,1.88,10.3%,193.08,Tier 4: Rare
183,(Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contact...,⚠️ RARE,1.88,10.3%,194.96,Tier 4: Rare
208,(Avg_Utilization_Ratio <= 0.094) AND (Avg_Utilization_Ratio ...,⚠️ RARE,1.84,4.4%,196.80,Tier 4: Rare
253,(education_Level == Unknown),⚠️ RARE,1.83,4.4%,198.63,Tier 4: Rare
120,(Total_Trans_Ct > 92) AND (education_Level == Uneducated),⚠️ RARE,1.82,4.4%,200.45,Tier 4: Rare
62,(income_Category == $80K - $120K) AND (Total_Trans_Amt > 478...,⚠️ RARE,1.79,4.4%,202.24,Tier 4: Rare
25,(income_Category == $120K +),⚠️ RARE,1.78,8.1%,204.02,Tier 4: Rare
32,(Avg_Utilization_Ratio <= 0.151) AND (Avg_Utilization_Ratio ...,⚠️ RARE,1.74,4.4%,205.76,Tier 4: Rare
134,(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio <= 0....,⚠️ RARE,1.74,5.9%,207.50,Tier 4: Rare
286,(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio <= 0....,⚠️ RARE,1.72,7.4%,209.22,Tier 4: Rare
60,(income_Category == $80K - $120K) AND (education_Level == Co...,⚠️ RARE,1.69,5.9%,210.91,Tier 4: Rare
200,(income_Category == $60K - $80K) AND (Customer_Age <= 49),⚠️ RARE,1.66,10.3%,212.57,Tier 4: Rare
184,(Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contact...,⚠️ RARE,1.64,5.9%,214.21,Tier 4: Rare
20,(card_Category == Blue) AND (income_Category == $120K +) AND...,⚠️ RARE,1.46,4.4%,215.67,Tier 4: Rare
10,(income_Category == $80K - $120K) AND (education_Level == Hi...,⚠️ RARE,1.45,4.4%,217.12,Tier 4: Rare
246,(Total_Trans_Ct > 71) AND (education_Level == High School),⚠️ RARE,1.44,10.3%,218.56,Tier 4: Rare
79,(Avg_Utilization_Ratio <= 0.138) AND (Avg_Utilization_Ratio ...,⚠️ RARE,1.41,5.9%,219.97,Tier 4: Rare
139,(card_Category == Silver) AND (income_Category == $120K +),⚠️ RARE,1.34,4.4%,221.31,Tier 4: Rare
177,(income_Category == $60K - $80K) AND (education_Level == Col...,⚠️ RARE,1.33,4.4%,222.64,Tier 4: Rare
90,(Avg_Utilization_Ratio <= 0.125) AND (Avg_Utilization_Ratio ...,⚠️ RARE,1.31,4.4%,223.95,Tier 4: Rare
224,(card_Category == Silver) AND (marital_Status == Single),⚠️ RARE,1.30,4.4%,225.25,Tier 4: Rare
158,(income_Category == Unknown) AND (attrition_Flag == Existing...,⚠️ RARE,1.28,4.4%,226.53,Tier 4: Rare
216,(card_Category == Blue) AND (Naive_Bayes_Classifier_Attritio...,⚠️ RARE,1.26,8.9%,227.79,Tier 4: Rare
80,(Avg_Utilization_Ratio <= 0.138) AND (Avg_Utilization_Ratio ...,⚠️ RARE,1.24,5.9%,229.03,Tier 4: Rare
265,(Customer_Age > 48) AND (Avg_Utilization_Ratio <= 0.174) AND...,⚠️ RARE,1.22,7.4%,230.25,Tier 4: Rare
279,(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio > 0.0...,⚠️ RARE,1.21,11.8%,231.46,Tier 4: Rare
135,(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio <= 0....,⚠️ RARE,1.19,5.9%,232.65,Tier 4: Rare
245,(Total_Trans_Ct > 71) AND (education_Level == Unknown),⚠️ RARE,1.17,4.4%,233.82,Tier 4: Rare
225,(card_Category == Blue) AND (Avg_Utilization_Ratio > 0) AND ...,⚠️ RARE,1.16,4.4%,234.98,Tier 4: Rare
185,(Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contact...,⚠️ RARE,1.16,4.4%,236.14,Tier 4: Rare
201,(income_Category == $60K - $80K) AND (Customer_Age <= 49) AN...,⚠️ RARE,1.14,5.9%,237.28,Tier 4: Rare
33,(Avg_Utilization_Ratio <= 0.151) AND (Avg_Utilization_Ratio ...,⚠️ RARE,1.13,7.4%,238.41,Tier 4: Rare
247,(Total_Trans_Ct > 71) AND (education_Level == High School) A...,⚠️ RARE,1.07,5.9%,239.48,Tier 4: Rare
147,(income_Category == $120K +) AND (Months_on_book <= 36) AND ...,⚠️ RARE,1.03,4.4%,240.51,Tier 4: Rare
287,(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio <= 0....,⚠️ RARE,1.03,4.4%,241.54,Tier 4: Rare
255,(education_Level == Uneducated) AND (marital_Status == Marri...,⚠️ RARE,0.96,4.4%,242.50,Tier 4: Rare
