run,rule,leaf_condition,rows,win,depth,num_conditions,rule_key
1,(card_Category == Blue),card_Category == Blue,27,-6,0,1,(card_Category == Blue)
1,(card_Category == Blue) AND (income_Category == $120K +),income_Category == $120K +,5,34,1,2,(card_Category == Blue) AND (income_Category == $120K +)
1,(card_Category == Blue) AND (income_Category == $80K - $120K),income_Category == $80K - $120K,5,-3,1,2,(card_Category == Blue) AND (income_Category == $80K - $120K)
1,(card_Category == Blue) AND (income_Category == $80K - $120K) AND (education_Level == Graduate),education_Level == Graduate,3,7,2,3,(card_Category == Blue) AND (income_Category == $80K - $120K) AND (education_Level == Graduate)
1,(card_Category == Blue) AND (income_Category == Less than $40K),income_Category == Less than $40K,6,-15,1,2,(card_Category == Blue) AND (income_Category == Less than $40K)
1,(card_Category == Blue) AND (income_Category == Less than $40K) AND (marital_Status == Married),marital_Status == Married,4,-16,2,3,(card_Category == Blue) AND (income_Category == Less than $40K) AND (marital_Status == Married)
1,(card_Category == Blue) AND (income_Category == $40K - $60K),income_Category == $40K - $60K,5,-19,1,2,(card_Category == Blue) AND (income_Category == $40K - $60K)
1,(card_Category == Blue) AND (income_Category == Unknown),income_Category == Unknown,5,-20,1,2,(card_Category == Blue) AND (income_Category == Unknown)
2,(income_Category == $80K - $120K),income_Category == $80K - $120K,10,28,0,1,(income_Category == $80K - $120K)
2,(income_Category == $80K - $120K) AND (education_Level == High School),education_Level == High School,3,47,1,2,(income_Category == $80K - $120K) AND (education_Level == High School)
2,(income_Category == $80K - $120K) AND (education_Level == Graduate),education_Level == Graduate,3,26,1,2,(income_Category == $80K - $120K) AND (education_Level == Graduate)
2,(income_Category == Unknown),income_Category == Unknown,3,8,0,1,(income_Category == Unknown)
2,(income_Category == $40K - $60K),income_Category == $40K - $60K,6,-16,0,1,(income_Category == $40K - $60K)
2,(income_Category == $40K - $60K) AND (marital_Status == Married),marital_Status == Married,3,-15,1,2,(income_Category == $40K - $60K) AND (marital_Status == Married)
2,(income_Category == $60K - $80K),income_Category == $60K - $80K,6,-19,0,1,(income_Category == $60K - $80K)
2,(income_Category == Less than $40K),income_Category == Less than $40K,4,-35,0,1,(income_Category == Less than $40K)
3,(card_Category == Blue),card_Category == Blue,26,-10,0,1,(card_Category == Blue)
3,(card_Category == Blue) AND (income_Category == $80K - $120K),income_Category == $80K - $120K,9,10,1,2,(card_Category == Blue) AND (income_Category == $80K - $120K)
3,(card_Category == Blue) AND (income_Category == $80K - $120K) AND (education_Level == Graduate),education_Level == Graduate,3,48,2,3,(card_Category == Blue) AND (income_Category == $80K - $120K) AND (education_Level == Graduate)
3,(card_Category == Blue) AND (income_Category == $120K +),income_Category == $120K +,4,0,1,2,(card_Category == Blue) AND (income_Category == $120K +)
3,(card_Category == Blue) AND (income_Category == $60K - $80K),income_Category == $60K - $80K,5,-9,1,2,(card_Category == Blue) AND (income_Category == $60K - $80K)
3,(card_Category == Blue) AND (income_Category == Less than $40K),income_Category == Less than $40K,6,-54,1,2,(card_Category == Blue) AND (income_Category == Less than $40K)
3,(card_Category == Blue) AND (income_Category == Less than $40K) AND (marital_Status == Single),marital_Status == Single,3,-43,2,3,(card_Category == Blue) AND (income_Category == Less than $40K) AND (marital_Status == Single)
4,(card_Category == Silver),card_Category == Silver,3,46,0,1,(card_Category == Silver)
4,(card_Category == Blue),card_Category == Blue,26,-6,0,1,(card_Category == Blue)
4,(card_Category == Blue) AND (income_Category == $120K +),income_Category == $120K +,7,11,1,2,(card_Category == Blue) AND (income_Category == $120K +)
4,(card_Category == Blue) AND (income_Category == $120K +) AND (Months_on_book <= 36),Months_on_book <= 36,3,58,2,3,(card_Category == Blue) AND (income_Category == $120K +) AND (Months_on_book <= 36)
