rule,conditions,specificity,occurrences,penetration_%,avg_win,avg_rows,coverage_%,impact_score,roi_win_per_row,recommendation
(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio <= 0.1),2,NESTED (2 conditions),1,2.0%,47.0,16.0,23.6%,7.73,2.94,⭐ EASY WIN
(Avg_Utilization_Ratio <= 0.094) AND (Avg_Utilization_Ratio > 0),2,NESTED (2 conditions),1,2.0%,66.0,9.0,13.3%,6.11,7.33,⭐ EASY WIN
(Avg_Utilization_Ratio <= 0.138) AND (Avg_Utilization_Ratio > 0.036),2,NESTED (2 conditions),1,2.0%,49.0,12.0,17.7%,6.05,4.08,⭐ EASY WIN
(Total_Trans_Ct > 92),1,BROAD,1,2.0%,51.0,8.0,11.8%,5.93,6.38,⭐ EASY WIN
(Avg_Utilization_Ratio <= 0.146) AND (Avg_Utilization_Ratio > 0),2,NESTED (2 conditions),1,2.0%,41.0,14.0,20.7%,5.90,2.93,⭐ EASY WIN
(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio <= 0.137),2,NESTED (2 conditions),1,2.0%,62.0,9.0,13.3%,5.74,6.89,⭐ EASY WIN
(Customer_Age > 48),1,BROAD,1,2.0%,25.0,15.0,22.1%,5.45,1.67,⭐ EASY WIN
(Avg_Utilization_Ratio <= 0.094),1,BROAD,1,2.0%,25.0,15.0,22.1%,5.45,1.67,⭐ EASY WIN
(card_Category == Silver),1,BROAD,12,24.0%,47.7,7.8,11.6%,5.43,6.09,⭐ EASY WIN
(Avg_Utilization_Ratio > 0),1,BROAD,5,10.0%,18.2,19.8,29.2%,5.24,0.92,⭐ EASY WIN
(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio <= 0.094),2,NESTED (2 conditions),1,2.0%,85.0,6.0,8.9%,5.24,14.17,⭐ EASY WIN
(Avg_Utilization_Ratio <= 0.146),1,BROAD,1,2.0%,16.0,21.0,31.0%,4.89,0.76,✓ GOOD
(Avg_Utilization_Ratio <= 0.146) AND (Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio <= 0.07),3,NESTED (3 conditions),1,2.0%,64.0,9.0,13.3%,4.84,7.11,✓ GOOD
(Customer_Age > 48) AND (Avg_Utilization_Ratio <= 0.174),2,NESTED (2 conditions),1,2.0%,51.0,9.0,13.3%,4.72,5.67,✓ GOOD
(Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2 > 0.00553) AND (Avg_Utilization_Ratio <= 0.21),2,NESTED (2 conditions),1,2.0%,20.0,22.0,32.5%,4.52,0.91,✓ GOOD
(Avg_Utilization_Ratio <= 0.138),1,BROAD,1,2.0%,17.0,18.0,26.6%,4.45,0.94,✓ GOOD
(Total_Trans_Amt > 5638),1,BROAD,1,2.0%,43.0,7.0,10.3%,4.38,6.14,✓ GOOD
(Avg_Utilization_Ratio <= 0.174) AND (Avg_Utilization_Ratio > 0),2,NESTED (2 conditions),1,2.0%,42.0,10.0,14.8%,4.32,4.20,✓ GOOD
(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio <= 0.1) AND (income_Category == $80K - $120K),3,NESTED (3 conditions),1,2.0%,56.0,9.0,13.3%,4.23,6.22,✓ GOOD
(Total_Trans_Ct > 71),1,BROAD,1,2.0%,16.0,18.0,26.6%,4.19,0.89,✓ GOOD
(Avg_Utilization_Ratio <= 0.125) AND (Avg_Utilization_Ratio > 0),2,NESTED (2 conditions),1,2.0%,43.0,9.0,13.3%,3.98,4.78,✓ GOOD
(card_Category == Gold),1,BROAD,1,2.0%,89.0,3.0,4.4%,3.88,29.67,✓ GOOD
(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio <= 0.227),2,NESTED (2 conditions),1,2.0%,50.0,7.0,10.3%,3.60,7.14,✓ GOOD
(Avg_Utilization_Ratio <= 0.151) AND (Avg_Utilization_Ratio > 0),2,NESTED (2 conditions),1,2.0%,38.0,9.0,13.3%,3.52,4.22,✓ GOOD
(income_Category == Unknown) AND (attrition_Flag == Existing Customer),2,NESTED (2 conditions),1,2.0%,57.0,6.0,8.9%,3.52,9.50,✓ GOOD
(Avg_Utilization_Ratio <= 0.174),1,BROAD,1,2.0%,15.0,16.0,23.6%,3.49,0.94,✓ GOOD
(Avg_Utilization_Ratio <= 0.125),1,BROAD,1,2.0%,16.0,15.0,22.1%,3.49,1.07,✓ GOOD
(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio <= 0.094) AND (card_Category == Blue),3,NESTED (3 conditions),1,2.0%,82.0,5.0,7.4%,3.44,16.40,✓ GOOD
(Avg_Utilization_Ratio <= 0.151) AND (Avg_Utilization_Ratio > 0) AND (attrition_Flag == Existing Customer),3,NESTED (3 conditions),1,2.0%,49.0,8.0,11.8%,3.29,6.12,✓ GOOD
