run,rule,leaf_condition,rows,win,depth,num_conditions,rule_key
1,(Total_Trans_Amt > 8192),Total_Trans_Amt > 8192,6,58,0,1,(Total_Trans_Amt > 8192)
1,(Total_Trans_Amt > 8192) AND (education_Level == Graduate),education_Level == Graduate,3,78,1,2,(Total_Trans_Amt > 8192) AND (education_Level == Graduate)
1,(Total_Trans_Amt <= 8192),Total_Trans_Amt <= 8192,24,-14,0,1,(Total_Trans_Amt <= 8192)
1,(Total_Trans_Amt <= 8192) AND (income_Category == $80K - $120K),income_Category == $80K - $120K,7,3,1,2,(Total_Trans_Amt <= 8192) AND (income_Category == $80K - $120K)
1,(Total_Trans_Amt <= 8192) AND (income_Category == $40K - $60K),income_Category == $40K - $60K,3,3,1,2,(Total_Trans_Amt <= 8192) AND (income_Category == $40K - $60K)
1,(Total_Trans_Amt <= 8192) AND (income_Category == $60K - $80K),income_Category == $60K - $80K,4,-26,1,2,(Total_Trans_Amt <= 8192) AND (income_Category == $60K - $80K)
1,(Total_Trans_Amt <= 8192) AND (income_Category == Less than $40K),income_Category == Less than $40K,6,-34,1,2,(Total_Trans_Amt <= 8192) AND (income_Category == Less than $40K)
2,(income_Category == $80K - $120K) AND (education_Level == Graduate),education_Level == Graduate,3,23,1,2,(income_Category == $80K - $120K) AND (education_Level == Graduate)
2,(income_Category == $40K - $60K) AND (attrition_Flag == Attrited Customer),attrition_Flag == Attrited Customer,3,-48,1,2,(income_Category == $40K - $60K) AND (attrition_Flag == Attrited Customer)
3,(Avg_Utilization_Ratio > 0),Avg_Utilization_Ratio > 0,21,18,0,1,(Avg_Utilization_Ratio > 0)
3,(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio <= 0.161),Avg_Utilization_Ratio <= 0.161,14,44,1,2,(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio <= 0.161)
3,(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio <= 0.161) AND (education_Level == High School),education_Level == High School,3,57,2,3,(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio <= 0.161) AND (education_Level == High School)
3,(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio <= 0.161) AND (education_Level == Graduate),education_Level == Graduate,7,42,2,3,(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio <= 0.161) AND (education_Level == Graduate)
3,(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio > 0.161),Avg_Utilization_Ratio > 0.161,7,-32,1,2,(Avg_Utilization_Ratio > 0) AND (Avg_Utilization_Ratio > 0.161)
3,(Avg_Utilization_Ratio <= 0),Avg_Utilization_Ratio <= 0,9,-44,0,1,(Avg_Utilization_Ratio <= 0)
3,(Avg_Utilization_Ratio <= 0) AND (Customer_Age <= 44),Customer_Age <= 44,4,3,1,2,(Avg_Utilization_Ratio <= 0) AND (Customer_Age <= 44)
