features,num_features,occurrences,stability_%
"Avg_Utilization_Ratio, education_Level, income_Category",3,3,6.0
"card_Category, education_Level, income_Category",3,3,6.0
"Avg_Utilization_Ratio, education_Level, income_Category, marital_Status",4,2,4.0
"card_Category, education_Level, income_Category, marital_Status",4,2,4.0
"card_Category, income_Category, marital_Status",3,2,4.0
"education_Level, income_Category",2,2,4.0
"Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1, Total_Amt_Chng_Q4_Q1, education_Level",3,1,2.0
"Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2, education_Level, marital_Status",3,1,2.0
"Avg_Utilization_Ratio, Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2, Total_Amt_Chng_Q4_Q1, attrition_Flag, card_Category, income_Category, marital_Status",7,1,2.0
"Avg_Utilization_Ratio, Total_Amt_Chng_Q4_Q1, attrition_Flag, income_Category, marital_Status",5,1,2.0
"Avg_Utilization_Ratio, Customer_Age, education_Level, income_Category",4,1,2.0
"card_Category, income_Category",2,1,2.0
"Contacts_Count_12_mon, Months_on_book, card_Category, education_Level, income_Category",5,1,2.0
"education_Level, gender, income_Category, marital_Status",4,1,2.0
"Avg_Utilization_Ratio, attrition_Flag, card_Category, income_Category, marital_Status",5,1,2.0
"income_Category, marital_Status",2,1,2.0
"Avg_Utilization_Ratio, Total_Amt_Chng_Q4_Q1, Total_Relationship_Count, education_Level",4,1,2.0
"Customer_Age, Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2, education_Level, income_Category",4,1,2.0
,0,1,2.0
"Avg_Utilization_Ratio, CLIENTNUM, Months_on_book, Total_Trans_Amt, attrition_Flag, education_Level",6,1,2.0
"Avg_Utilization_Ratio, Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1, income_Category, marital_Status",4,1,2.0
"Avg_Utilization_Ratio, Total_Amt_Chng_Q4_Q1, Total_Trans_Ct, income_Category",4,1,2.0
"Avg_Utilization_Ratio, Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1, education_Level",3,1,2.0
"Dependent_count, attrition_Flag, card_Category, income_Category, marital_Status",5,1,2.0
"Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1, attrition_Flag, card_Category, income_Category",4,1,2.0
"Avg_Utilization_Ratio, Months_on_book, Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1, Total_Trans_Ct, attrition_Flag, gender, income_Category",7,1,2.0
"Customer_Age, Months_on_book, income_Category",3,1,2.0
"Months_Inactive_12_mon, Total_Trans_Amt, education_Level",3,1,2.0
"Avg_Utilization_Ratio, attrition_Flag, income_Category, marital_Status",4,1,2.0
"CLIENTNUM, Customer_Age, education_Level, income_Category, marital_Status",5,1,2.0
"Avg_Utilization_Ratio, gender, income_Category",3,1,2.0
"Avg_Utilization_Ratio, card_Category, education_Level, gender, income_Category",5,1,2.0
"Total_Trans_Ct, card_Category, education_Level, income_Category, marital_Status",5,1,2.0
"Total_Relationship_Count, attrition_Flag, education_Level, income_Category",4,1,2.0
"Avg_Utilization_Ratio, Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2, Total_Amt_Chng_Q4_Q1, card_Category, education_Level, income_Category",6,1,2.0
"Avg_Utilization_Ratio, attrition_Flag, education_Level, income_Category",4,1,2.0
"Avg_Utilization_Ratio, Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1, card_Category, income_Category",4,1,2.0
"Avg_Utilization_Ratio, card_Category, marital_Status",3,1,2.0
"Avg_Utilization_Ratio, education_Level",2,1,2.0
"Avg_Utilization_Ratio, Total_Amt_Chng_Q4_Q1, attrition_Flag, card_Category, income_Category, marital_Status",6,1,2.0
"Avg_Utilization_Ratio, Contacts_Count_12_mon, education_Level, income_Category",4,1,2.0
"Customer_Age, Total_Trans_Ct, card_Category, income_Category",4,1,2.0
