run,accuracy,features,num_features,feature_set,stability,feature_set_name
1,74,"['Avg_Utilization_Ratio', 'education_Level', 'income_Category', 'marital_Status']",4,"('Avg_Utilization_Ratio', 'education_Level', 'income_Category', 'marital_Status')",4.0,"Avg_Utilization_Ratio, education_Level, income_Category, marital_Status"
2,75,"['card_Category', 'income_Category', 'marital_Status']",3,"('card_Category', 'income_Category', 'marital_Status')",4.0,"card_Category, income_Category, marital_Status"
3,-10,"['Customer_Age', 'Months_on_book', 'income_Category']",3,"('Customer_Age', 'Months_on_book', 'income_Category')",2.0,"Customer_Age, Months_on_book, income_Category"
4,40,"['Avg_Utilization_Ratio', 'education_Level', 'income_Category']",3,"('Avg_Utilization_Ratio', 'education_Level', 'income_Category')",6.0,"Avg_Utilization_Ratio, education_Level, income_Category"
5,6,"['Months_Inactive_12_mon', 'Total_Trans_Amt', 'education_Level']",3,"('Months_Inactive_12_mon', 'Total_Trans_Amt', 'education_Level')",2.0,"Months_Inactive_12_mon, Total_Trans_Amt, education_Level"
6,64,"['Avg_Utilization_Ratio', 'attrition_Flag', 'income_Category', 'marital_Status']",4,"('Avg_Utilization_Ratio', 'attrition_Flag', 'income_Category', 'marital_Status')",2.0,"Avg_Utilization_Ratio, attrition_Flag, income_Category, marital_Status"
7,50,"['CLIENTNUM', 'Customer_Age', 'education_Level', 'income_Category', 'marital_Status']",5,"('CLIENTNUM', 'Customer_Age', 'education_Level', 'income_Category', 'marital_Status')",2.0,"CLIENTNUM, Customer_Age, education_Level, income_Category, marital_Status"
8,69,"['Avg_Utilization_Ratio', 'gender', 'income_Category']",3,"('Avg_Utilization_Ratio', 'gender', 'income_Category')",2.0,"Avg_Utilization_Ratio, gender, income_Category"
9,56,"['Avg_Utilization_Ratio', 'card_Category', 'education_Level', 'gender', 'income_Category']",5,"('Avg_Utilization_Ratio', 'card_Category', 'education_Level', 'gender', 'income_Category')",2.0,"Avg_Utilization_Ratio, card_Category, education_Level, gender, income_Category"
10,64,"['Total_Trans_Ct', 'card_Category', 'education_Level', 'income_Category', 'marital_Status']",5,"('Total_Trans_Ct', 'card_Category', 'education_Level', 'income_Category', 'marital_Status')",2.0,"Total_Trans_Ct, card_Category, education_Level, income_Category, marital_Status"
