features,num_features,occurrences,stability_%
"Avg_Utilization_Ratio, education_Level, income_Category",3,3,6.0
"education_Level, income_Category",2,3,6.0
"education_Level, income_Category, marital_Status",3,2,4.0
"card_Category, income_Category, marital_Status",3,2,4.0
"Total_Trans_Amt, card_Category, education_Level, income_Category",4,2,4.0
"Avg_Utilization_Ratio, card_Category, education_Level, income_Category",4,2,4.0
"Total_Amt_Chng_Q4_Q1, card_Category, education_Level",3,1,2.0
"Avg_Utilization_Ratio, education_Level, income_Category, marital_Status",4,1,2.0
"Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1, Total_Relationship_Count, gender, income_Category",4,1,2.0
"Avg_Utilization_Ratio, attrition_Flag, education_Level, income_Category",4,1,2.0
"Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2, education_Level, gender, income_Category, marital_Status",5,1,2.0
"Total_Trans_Amt, Total_Trans_Ct, attrition_Flag, income_Category, marital_Status",5,1,2.0
"Avg_Utilization_Ratio, Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1, attrition_Flag, income_Category, marital_Status",5,1,2.0
"Avg_Utilization_Ratio, Total_Trans_Ct, card_Category, education_Level, income_Category",5,1,2.0
"Avg_Utilization_Ratio, Total_Amt_Chng_Q4_Q1, Total_Trans_Ct, attrition_Flag, income_Category, marital_Status",6,1,2.0
"CLIENTNUM, card_Category, education_Level, income_Category, marital_Status",5,1,2.0
"Avg_Utilization_Ratio, Customer_Age, Total_Amt_Chng_Q4_Q1, attrition_Flag, income_Category",5,1,2.0
"card_Category, education_Level, income_Category, marital_Status",4,1,2.0
"Months_on_book, card_Category, income_Category",3,1,2.0
"Avg_Utilization_Ratio, Total_Trans_Ct, education_Level",3,1,2.0
"Avg_Utilization_Ratio, Total_Trans_Ct, education_Level, income_Category",4,1,2.0
"Total_Trans_Amt, card_Category, education_Level, income_Category, marital_Status",5,1,2.0
"attrition_Flag, card_Category, education_Level",3,1,2.0
"Avg_Utilization_Ratio, marital_Status",2,1,2.0
"CLIENTNUM, Months_Inactive_12_mon, education_Level, income_Category",4,1,2.0
"Dependent_count, Total_Amt_Chng_Q4_Q1, Total_Trans_Amt, education_Level, marital_Status",5,1,2.0
"attrition_Flag, card_Category, education_Level, income_Category, marital_Status",5,1,2.0
,0,1,2.0
"Total_Amt_Chng_Q4_Q1, attrition_Flag, income_Category",3,1,2.0
"Months_on_book, attrition_Flag, education_Level, income_Category",4,1,2.0
"Months_Inactive_12_mon, Total_Amt_Chng_Q4_Q1, education_Level, gender, income_Category, marital_Status",6,1,2.0
"Avg_Utilization_Ratio, Total_Amt_Chng_Q4_Q1, card_Category, education_Level, income_Category",5,1,2.0
"CLIENTNUM, education_Level, income_Category, marital_Status",4,1,2.0
"Avg_Utilization_Ratio, Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1, education_Level, marital_Status",4,1,2.0
"education_Level, gender, income_Category",3,1,2.0
"CLIENTNUM, Contacts_Count_12_mon, card_Category, income_Category, marital_Status",5,1,2.0
"Months_on_book, card_Category, income_Category, marital_Status",4,1,2.0
"CLIENTNUM, Customer_Age, attrition_Flag, education_Level",4,1,2.0
"Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1, card_Category, education_Level, income_Category",4,1,2.0
"Avg_Utilization_Ratio, Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1, card_Category, income_Category, marital_Status",5,1,2.0
"Avg_Utilization_Ratio, Total_Trans_Amt, education_Level",3,1,2.0
"Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2, education_Level, income_Category, marital_Status",4,1,2.0
