run,accuracy,features,num_features,feature_set,stability,feature_set_name
1,94,"['Avg_Utilization_Ratio', 'Total_Trans_Ct', 'card_Category', 'education_Level', 'income_Category']",5,"('Avg_Utilization_Ratio', 'Total_Trans_Ct', 'card_Category', 'education_Level', 'income_Category')",2.0,"Avg_Utilization_Ratio, Total_Trans_Ct, card_Category, education_Level, income_Category"
2,55,"['CLIENTNUM', 'Months_Inactive_12_mon', 'education_Level', 'income_Category']",4,"('CLIENTNUM', 'Months_Inactive_12_mon', 'education_Level', 'income_Category')",2.0,"CLIENTNUM, Months_Inactive_12_mon, education_Level, income_Category"
3,49,"['Avg_Utilization_Ratio', 'education_Level', 'income_Category']",3,"('Avg_Utilization_Ratio', 'education_Level', 'income_Category')",6.0,"Avg_Utilization_Ratio, education_Level, income_Category"
4,68,"['attrition_Flag', 'card_Category', 'education_Level', 'income_Category', 'marital_Status']",5,"('attrition_Flag', 'card_Category', 'education_Level', 'income_Category', 'marital_Status')",2.0,"attrition_Flag, card_Category, education_Level, income_Category, marital_Status"
5,74,[],0,(),2.0,
6,63,"['Total_Amt_Chng_Q4_Q1', 'attrition_Flag', 'income_Category']",3,"('Total_Amt_Chng_Q4_Q1', 'attrition_Flag', 'income_Category')",2.0,"Total_Amt_Chng_Q4_Q1, attrition_Flag, income_Category"
7,42,"['Months_on_book', 'attrition_Flag', 'education_Level', 'income_Category']",4,"('Months_on_book', 'attrition_Flag', 'education_Level', 'income_Category')",2.0,"Months_on_book, attrition_Flag, education_Level, income_Category"
8,62,"['Months_Inactive_12_mon', 'Total_Amt_Chng_Q4_Q1', 'education_Level', 'gender', 'income_Category', 'marital_Status']",6,"('Months_Inactive_12_mon', 'Total_Amt_Chng_Q4_Q1', 'education_Level', 'gender', 'income_Category', 'marital_Status')",2.0,"Months_Inactive_12_mon, Total_Amt_Chng_Q4_Q1, education_Level, gender, income_Category, marital_Status"
9,75,"['Avg_Utilization_Ratio', 'Total_Amt_Chng_Q4_Q1', 'card_Category', 'education_Level', 'income_Category']",5,"('Avg_Utilization_Ratio', 'Total_Amt_Chng_Q4_Q1', 'card_Category', 'education_Level', 'income_Category')",2.0,"Avg_Utilization_Ratio, Total_Amt_Chng_Q4_Q1, card_Category, education_Level, income_Category"
10,64,"['Avg_Utilization_Ratio', 'card_Category', 'education_Level', 'income_Category']",4,"('Avg_Utilization_Ratio', 'card_Category', 'education_Level', 'income_Category')",4.0,"Avg_Utilization_Ratio, card_Category, education_Level, income_Category"
11,2,"['Avg_Utilization_Ratio', 'card_Category', 'education_Level', 'income_Category']",4,"('Avg_Utilization_Ratio', 'card_Category', 'education_Level', 'income_Category')",4.0,"Avg_Utilization_Ratio, card_Category, education_Level, income_Category"
12,61,"['education_Level', 'income_Category']",2,"('education_Level', 'income_Category')",6.0,"education_Level, income_Category"
13,52,"['CLIENTNUM', 'education_Level', 'income_Category', 'marital_Status']",4,"('CLIENTNUM', 'education_Level', 'income_Category', 'marital_Status')",2.0,"CLIENTNUM, education_Level, income_Category, marital_Status"
14,64,"['Avg_Utilization_Ratio', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1', 'education_Level', 'marital_Status']",4,"('Avg_Utilization_Ratio', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1', 'education_Level', 'marital_Status')",2.0,"Avg_Utilization_Ratio, Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1, education_Level, marital_Status"
15,70,"['education_Level', 'gender', 'income_Category']",3,"('education_Level', 'gender', 'income_Category')",2.0,"education_Level, gender, income_Category"
16,61,"['CLIENTNUM', 'Contacts_Count_12_mon', 'card_Category', 'income_Category', 'marital_Status']",5,"('CLIENTNUM', 'Contacts_Count_12_mon', 'card_Category', 'income_Category', 'marital_Status')",2.0,"CLIENTNUM, Contacts_Count_12_mon, card_Category, income_Category, marital_Status"
17,69,"['Months_on_book', 'card_Category', 'income_Category', 'marital_Status']",4,"('Months_on_book', 'card_Category', 'income_Category', 'marital_Status')",2.0,"Months_on_book, card_Category, income_Category, marital_Status"
18,38,"['CLIENTNUM', 'Customer_Age', 'attrition_Flag', 'education_Level']",4,"('CLIENTNUM', 'Customer_Age', 'attrition_Flag', 'education_Level')",2.0,"CLIENTNUM, Customer_Age, attrition_Flag, education_Level"
19,52,"['education_Level', 'income_Category']",2,"('education_Level', 'income_Category')",6.0,"education_Level, income_Category"
20,62,"['Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1', 'card_Category', 'education_Level', 'income_Category']",4,"('Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1', 'card_Category', 'education_Level', 'income_Category')",2.0,"Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1, card_Category, education_Level, income_Category"
21,59,"['Avg_Utilization_Ratio', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1', 'card_Category', 'income_Category', 'marital_Status']",5,"('Avg_Utilization_Ratio', 'Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1', 'card_Category', 'income_Category', 'marital_Status')",2.0,"Avg_Utilization_Ratio, Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1, card_Category, income_Category, marital_Status"
22,62,"['Avg_Utilization_Ratio', 'Total_Trans_Amt', 'education_Level']",3,"('Avg_Utilization_Ratio', 'Total_Trans_Amt', 'education_Level')",2.0,"Avg_Utilization_Ratio, Total_Trans_Amt, education_Level"
23,12,"['Dependent_count', 'Total_Amt_Chng_Q4_Q1', 'Total_Trans_Amt', 'education_Level', 'marital_Status']",5,"('Dependent_count', 'Total_Amt_Chng_Q4_Q1', 'Total_Trans_Amt', 'education_Level', 'marital_Status')",2.0,"Dependent_count, Total_Amt_Chng_Q4_Q1, Total_Trans_Amt, education_Level, marital_Status"
