feature,occurrences,frequency_%
income_Category,44,88.0
education_Level,37,74.0
marital_Status,27,54.0
Avg_Utilization_Ratio,20,40.0
card_Category,19,38.0
attrition_Flag,7,14.000000000000002
Total_Trans_Ct,6,12.0
Months_on_book,5,10.0
CLIENTNUM,5,10.0
Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2,5,10.0
Total_Trans_Amt,4,8.0
Customer_Age,3,6.0
Total_Amt_Chng_Q4_Q1,3,6.0
gender,3,6.0
Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,3,6.0
Total_Relationship_Count,2,4.0
Contacts_Count_12_mon,1,2.0
Months_Inactive_12_mon,1,2.0
